(59, '64.17', '64.17', '65.07', '65.07', 'Wed, 29 Oct 2008 19:39:40', '733344.81921900960')
(60, '64.17', '64.17', '65.07', '65.07', 'Wed, 29 Oct 2008 19:39:49', '733344.81932567642')
(61, '64.17', '64.17', '65.07', '65.07', 'Wed, 29 Oct 2008 19:39:58', '733344.81943234289')
(62, '64.17', '64.17', '65.07', '65.07', 'Wed, 29 Oct 2008 19:40:08', '733344.81953900971')
(63, '64.17', '64.17', '65.30', '65.30', 'Wed, 29 Oct 2008 19:40:17', '733344.81964567618')
(64, '64.17', '64.17', '65.07', '65.07', 'Wed, 29 Oct 2008 19:40:26', '733344.81975229667')
(65, '64.17', '64.17', '65.07', '65.07', 'Wed, 29 Oct 2008 19:40:37', '733344.81988044479')
(66, '64.17', '64.17', '65.07', '65.07', 'Wed, 29 Oct 2008 19:40:46', '733344.81998711126')
(67, '64.17', '64.17', '65.30', '65.30', 'Wed, 29 Oct 2008 19:40:56', '733344.82009377808')
(68, '64.17', '64.17', '65.30', '65.30', 'Wed, 29 Oct 2008 19:41:05', '733344.82020044490')
(69, '64.17', '64.17', '65.07', '65.07', 'Wed, 29 Oct 2008 19:41:14', '733344.82030706527')
(70, '64.17', '64.17', '65.07', '65.07', 'Wed, 29 Oct 2008 19:41:23', '733344.82041373197')
(71, '64.17', '64.80', '65.07', '65.07', 'Wed, 29 Oct 2008 19:41:32', '733344.82052039844')
(72, '64.17', '65.48', '65.07', '65.07', 'Wed, 29 Oct 2008 19:41:42', '733344.82062706503')
(73, '64.17', '66.85', '65.07', '65.07', 'Wed, 29 Oct 2008 19:41:51', '733344.82073373185')
(74, '64.17', '67.53', '65.30', '65.30', 'Wed, 29 Oct 2008 19:42:03', '733344.82086905604')
(75, '64.17', '68.22', '65.07', '65.07', 'Wed, 29 Oct 2008 19:42:12', '733344.82097572251')
(76, '64.17', '68.90', '65.30', '65.30', 'Wed, 29 Oct 2008 19:42:21', '733344.82108238922')
(77, '64.17', '71.62', '65.07', '65.07', 'Wed, 29 Oct 2008 19:43:28', '733344.82185748196')
(78, '63.95', '70.74', '65.07', '65.07', 'Wed, 29 Oct 2008 19:43:37', '733344.82196410222')
(79, '63.95', '71.42', '65.07', '65.07', 'Wed, 29 Oct 2008 19:43:46', '733344.82207076880')
(80, '63.95', '71.42', '65.07', '65.07', 'Wed, 29 Oct 2008 19:43:56', '733344.82217743574')
(81, '63.95', '71.42', '65.07', '65.07', 'Wed, 29 Oct 2008 19:44:05', '733344.82228410209')
(82, '63.95', '71.42', '65.07', '65.07', 'Wed, 29 Oct 2008 19:44:14', '733344.82239076891')
(83, '63.95', '71.42', '65.07', '65.07', 'Wed, 29 Oct 2008 19:44:23', '733344.82249738940')
(84, '63.95', '72.10', '65.07', '65.07', 'Wed, 29 Oct 2008 19:44:32', '733344.82260405587')
(85, '63.72', '71.87', '65.30', '65.30', 'Wed, 29 Oct 2008 19:44:42', '733344.82271076902')
(86, '63.72', '71.87', '65.07', '65.07', 'Wed, 29 Oct 2008 19:44:51', '733344.82281757460')
(87, '63.72', '71.87', '65.07', '65.07', 'Wed, 29 Oct 2008 19:45:02', '733344.82294698560')
(88, '63.72', '72.55', '65.07', '65.07', 'Wed, 29 Oct 2008 19:45:11', '733344.82305368572')
(89, '63.72', '72.55', '65.07', '65.07', 'Wed, 29 Oct 2008 19:45:21', '733344.82316030597')
(90, '63.72', '72.55', '65.07', '65.07', 'Wed, 29 Oct 2008 19:45:30', '733344.82326697279')
(91, '63.72', '72.55', '65.07', '65.07', 'Wed, 29 Oct 2008 19:45:39', '733344.82337363949')
(92, '63.72', '72.55', '65.30', '65.30', 'Wed, 29 Oct 2008 19:45:48', '733344.82348025974')
(93, '63.50', '72.34', '65.07', '65.07', 'Wed, 29 Oct 2008 19:45:57', '733344.82358692633')
(94, '63.50', '72.34', '65.07', '65.07', 'Wed, 29 Oct 2008 19:46:07', '733344.82369359292')
(95, '63.50', '73.02', '65.07', '65.07', 'Wed, 29 Oct 2008 19:46:16', '733344.82380025985')
(96, '63.50', '73.02', '65.07', '65.07', 'Wed, 29 Oct 2008 19:46:27', '733344.82392507442')
(97, '63.50', '73.02', '65.07', '65.07', 'Wed, 29 Oct 2008 19:46:36', '733344.82403174113')
(98, '63.50', '73.02', '65.07', '65.07', 'Wed, 29 Oct 2008 19:46:45', '733344.82413840783')
(99, '63.50', '72.34', '65.07', '65.07', 'Wed, 29 Oct 2008 19:46:54', '733344.82424502820')
(100, '63.50', '73.02', '65.07', '65.07', 'Wed, 29 Oct 2008 19:47:07', '733344.82439132431')
(101, '63.27', '72.10', '65.07', '65.07', 'Wed, 29 Oct 2008 19:47:16', '733344.82449799113')
(102, '63.27', '72.10', '65.07', '65.07', 'Wed, 29 Oct 2008 19:47:25', '733344.82460461161')
(103, '63.27', '72.10', '65.07', '65.07', 'Wed, 29 Oct 2008 19:47:35', '733344.82471127808')
(104, '63.27', '72.10', '65.07', '65.07', 'Wed, 29 Oct 2008 19:47:44', '733344.82481794455')
(105, '63.27', '72.79', '65.30', '65.30', 'Wed, 29 Oct 2008 19:47:53', '733344.82492461149')
(106, '63.27', '72.79', '65.07', '65.07', 'Wed, 29 Oct 2008 19:48:02', '733344.82503123174')
(107, '63.27', '72.79', '65.30', '65.30', 'Wed, 29 Oct 2008 19:48:11', '733344.82513789821')
(108, '63.05', '72.57', '65.07', '65.07', 'Wed, 29 Oct 2008 19:48:26', '733344.82530178712')
(109, '63.05', '72.57', '65.07', '65.07', 'Wed, 29 Oct 2008 19:48:35', '733344.82540845394')
(110, '63.05', '72.57', '65.07', '65.07', 'Wed, 29 Oct 2008 19:48:44', '733344.82551512064')
(111, '63.05', '72.57', '65.07', '65.07', 'Wed, 29 Oct 2008 19:48:53', '733344.82562174101')
(112, '63.05', '72.57', '65.07', '65.07', 'Wed, 29 Oct 2008 19:49:02', '733344.82572840748')
(113, '63.05', '72.57', '65.07', '65.07', 'Wed, 29 Oct 2008 19:49:12', '733344.82583507441')
(114, '63.05', '72.57', '65.07', '65.07', 'Wed, 29 Oct 2008 19:49:21', '733344.82594174112')
(115, '63.05', '72.57', '65.07', '65.07', 'Wed, 29 Oct 2008 19:49:30', '733344.82604836149')
(116, '63.05', '72.57', '65.07', '65.07', 'Wed, 29 Oct 2008 19:49:41', '733344.82618039846')
(117, '62.82', '72.36', '65.07', '65.07', 'Wed, 29 Oct 2008 19:49:51', '733344.82628706505')
(118, '62.82', '73.04', '65.07', '65.07', 'Wed, 29 Oct 2008 19:50:00', '733344.82639373140')
(119, '62.82', '72.36', '65.07', '65.07', 'Wed, 29 Oct 2008 19:50:09', '733344.82650035212')
(120, '62.82', '73.04', '65.07', '65.07', 'Wed, 29 Oct 2008 19:50:18', '733344.82660701883')
(121, '62.82', '72.36', '65.07', '65.07', 'Wed, 29 Oct 2008 19:50:28', '733344.82671368530')
(122, '62.82', '72.36', '65.07', '65.07', 'Wed, 29 Oct 2008 19:50:37', '733344.82682035211')
(123, '62.82', '72.36', '65.07', '65.07', 'Wed, 29 Oct 2008 19:50:46', '733344.82692701870')
(124, '62.82', '72.36', '65.07', '65.07', 'Wed, 29 Oct 2008 19:50:55', '733344.82703363919')
(125, '62.60', '71.46', '65.07', '70.45', 'Wed, 29 Oct 2008 19:51:04', '733344.82714030554')
(126, '62.60', '70.77', '65.07', '73.18', 'Wed, 29 Oct 2008 19:51:16', '733344.82727030595')
(127, '62.60', '70.09', '65.07', '73.18', 'Wed, 29 Oct 2008 19:51:25', '733344.82737697265')
(128, '62.60', '69.40', '65.07', '74.55', 'Wed, 29 Oct 2008 19:51:34', '733344.82748359314')
(129, '62.60', '68.74', '65.07', '74.55', 'Wed, 29 Oct 2008 19:51:43', '733344.82759025961')
(130, '62.60', '68.05', '65.07', '74.55', 'Wed, 29 Oct 2008 19:51:53', '733344.82769692608')
(131, '62.82', '68.25', '65.07', '75.24', 'Wed, 29 Oct 2008 19:52:02', '733344.82780359278')
(132, '62.60', '67.37', '65.07', '75.92', 'Wed, 29 Oct 2008 19:52:11', '733344.82791025937')
(133, '62.60', '66.69', '65.07', '75.24', 'Wed, 29 Oct 2008 19:52:20', '733344.82801688008')
(134, '62.60', '66.00', '65.07', '75.92', 'Wed, 29 Oct 2008 19:52:29', '733344.82812354667')
(135, '62.82', '66.22', '65.07', '75.24', 'Wed, 29 Oct 2008 19:52:40', '733344.82824910234')
(136, '62.82', '65.53', '65.07', '73.87', 'Wed, 29 Oct 2008 19:52:49', '733344.82835576858')
(137, '62.82', '65.53', '65.07', '72.50', 'Wed, 29 Oct 2008 19:52:59', '733344.82846243528')
(138, '62.82', '64.85', '65.07', '71.82', 'Wed, 29 Oct 2008 19:53:08', '733344.82856910198')
(139, '62.82', '64.85', '65.07', '71.13', 'Wed, 29 Oct 2008 19:53:17', '733344.82867572259')
(140, '62.82', '64.85', '65.07', '72.50', 'Wed, 29 Oct 2008 19:53:26', '733344.82878238952')
(141, '62.82', '64.17', '65.07', '71.82', 'Wed, 29 Oct 2008 19:53:36', '733344.82888905564')
(142, '62.82', '63.48', '65.07', '71.13', 'Wed, 29 Oct 2008 19:53:45', '733344.82899572281')
(143, '62.82', '63.48', '65.07', '70.45', 'Wed, 29 Oct 2008 19:53:54', '733344.82910238893')
(144, '63.05', '64.38', '65.07', '69.08', 'Wed, 29 Oct 2008 19:54:05', '733344.82922863925')
(145, '62.82', '63.48', '65.07', '68.41', 'Wed, 29 Oct 2008 19:54:14', '733344.82933530584')
(146, '63.05', '63.72', '65.07', '68.41', 'Wed, 29 Oct 2008 19:54:23', '733344.82944197254')
(147, '63.05', '63.72', '65.07', '67.05', 'Wed, 29 Oct 2008 19:54:33', '733344.82954863959')
(148, '63.05', '63.05', '65.30', '67.95', 'Wed, 29 Oct 2008 19:54:42', '733344.82965525950')
(149, '63.05', '63.72', '65.07', '67.05', 'Wed, 29 Oct 2008 19:54:51', '733344.82976192597')
(150, '63.05', '63.05', '65.07', '66.36', 'Wed, 29 Oct 2008 19:55:00', '733344.82986859302')
(151, '63.05', '63.05', '65.30', '66.60', 'Wed, 29 Oct 2008 19:55:09', '733344.82997525949')
(152, '63.05', '63.05', '65.07', '65.68', 'Wed, 29 Oct 2008 19:55:19', '733344.83008192608')
(153, '63.27', '63.27', '65.30', '65.91', 'Wed, 29 Oct 2008 19:55:30', '733344.83020854671')
(154, '63.05', '63.05', '65.07', '65.07', 'Wed, 29 Oct 2008 19:55:39', '733344.83031521330')
(155, '63.27', '63.27', '65.30', '65.30', 'Wed, 29 Oct 2008 19:55:48', '733344.83042192610')
(156, '63.27', '63.27', '65.30', '65.30', 'Wed, 29 Oct 2008 19:56:01', '733344.83057669492')
(157, '63.27', '63.27', '65.30', '65.91', 'Wed, 29 Oct 2008 19:56:11', '733344.83068331506')
(158, '63.27', '63.27', '65.30', '65.30', 'Wed, 29 Oct 2008 19:56:20', '733344.83078998176')
(159, '63.27', '63.27', '65.30', '65.30', 'Wed, 29 Oct 2008 19:56:29', '733344.83089665417')
(160, '63.27', '63.27', '65.30', '65.30', 'Wed, 29 Oct 2008 19:56:38', '733344.83100396325')
(161, '63.27', '63.27', '65.30', '65.30', 'Wed, 29 Oct 2008 19:56:47', '733344.83111067605')
(162, '63.27', '63.27', '65.30', '65.30', 'Wed, 29 Oct 2008 19:56:57', '733344.83121734287')
(163, '63.27', '63.27', '65.30', '65.30', 'Wed, 29 Oct 2008 19:57:06', '733344.83132400969')
(164, '63.27', '63.27', '65.30', '65.30', 'Wed, 29 Oct 2008 19:57:15', '733344.83143067628')
(165, '63.27', '63.27', '65.30', '65.30', 'Wed, 29 Oct 2008 19:57:24', '733344.83153734286')
(166, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:57:36', '733344.83167067636')
(167, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:57:45', '733344.83177729661')
(168, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:57:54', '733344.83188396355')
(169, '63.27', '63.27', '65.30', '65.30', 'Wed, 29 Oct 2008 19:58:03', '733344.83199062978')
(170, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:58:13', '733344.83209729649')
(171, '63.27', '63.27', '65.30', '65.30', 'Wed, 29 Oct 2008 19:58:22', '733344.83220396307')
(172, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:58:31', '733344.83231058391')
(173, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:58:40', '733344.83241743571')
(174, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:58:50', '733344.83252410206')
(175, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:59:01', '733344.83265225147')
(176, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:59:10', '733344.83275887067')
(177, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:59:19', '733344.83286553726')
(178, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:59:28', '733344.83297220431')
(179, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:59:38', '733344.83307887043')
(180, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:59:47', '733344.83318553725')
(181, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 19:59:56', '733344.83329215751')
(182, '63.50', '63.50', '65.30', '65.30', 'Wed, 29 Oct 2008 20:00:05', '733344.83339882456')
(183, '63.72', '63.72', '65.30', '65.30', 'Wed, 29 Oct 2008 20:00:14', '733344.83350549091')
(184, '63.72', '63.72', '65.30', '65.30', 'Wed, 29 Oct 2008 20:00:26', '733344.83363456500')
(185, '63.72', '63.72', '65.30', '65.30', 'Wed, 29 Oct 2008 20:00:35', '733344.83374123171')
(186, '63.72', '63.72', '65.30', '65.30', 'Wed, 29 Oct 2008 20:00:44', '733344.83384789818')
(187, '63.72', '63.72', '65.30', '65.30', 'Wed, 29 Oct 2008 20:00:53', '733344.83395451878')
(188, '63.72', '63.72', '65.30', '65.30', 'Wed, 29 Oct 2008 20:03:07', '733344.83549910202')
(189, '63.72', '63.72', '65.30', '65.30', 'Wed, 29 Oct 2008 20:03:16', '733344.83560572250')
(190, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:03:25', '733344.83571238921')
