Log Date and Time Sat, 22 Mar 2008 12:52:38
Ambient Kiln Date Date2Num

(70, '72.05', '73.85', 'Thu, 20 Mar 2008 20:50:11', '733122.35849398596')
(71, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:14', '733122.35852861579')
(72, '71.82', '73.85', 'Thu, 20 Mar 2008 20:50:17', '733122.35856342211')
(73, '71.82', '73.85', 'Thu, 20 Mar 2008 20:50:20', '733122.35859822668')
(74, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:23', '733122.35863285977')
(75, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:26', '733122.35866766341')
(76, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:29', '733122.35870248196')
(77, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:32', '733122.35873728653')
(78, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:35', '733122.35877209867')
(79, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:38', '733122.35880672315')
(80, '71.82', '73.62', 'Thu, 20 Mar 2008 20:50:41', '733122.35884156195')
(81, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:44', '733122.35887616081')
(82, '71.82', '73.62', 'Thu, 20 Mar 2008 20:50:47', '733122.35891097761')
(83, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:50', '733122.35894577717')
(84, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:53', '733122.35898041457')
(85, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:56', '733122.35901521845')
(86, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:59', '733122.35905002535')
(87, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:02', '733122.35908484063')
(88, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:05', '733122.35911945626')
(89, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:08', '733122.35915427783')
(90, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:11', '733122.35918889870')
(91, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:14', '733122.35922371456')
(92, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:17', '733122.35925852018')
(93, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:20', '733122.35929333023')
(94, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:23', '733122.35932795494')
(95, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:26', '733122.35936277325')
(96, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:29', '733122.35939757945')
(97, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:32', '733122.35943221045')
(98, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:35', '733122.35946701060')
(99, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:38', '733122.35950181971')
(100, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:41', '733122.35953663720')
(101, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:44', '733122.35957125574')
(102, '72.05', '73.40', 'Thu, 20 Mar 2008 20:51:47', '733122.35960607440')
(103, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:50', '733122.35964068875')
(104, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:53', '733122.35967551114')
(105, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:56', '733122.35971031536')
(106, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:59', '733122.35974494787')
(107, '72.05', '73.62', 'Thu, 20 Mar 2008 20:52:02', '733122.35977975093')
(108, '72.05', '73.62', 'Thu, 20 Mar 2008 20:52:05', '733122.35981456900')
(109, '72.05', '73.62', 'Thu, 20 Mar 2008 20:52:08', '733122.35984918813')
(110, '72.05', '73.62', 'Thu, 20 Mar 2008 20:52:11', '733122.35988400632')
(111, '72.05', '73.62', 'Thu, 20 Mar 2008 20:52:14', '733122.35991862521')
(112, '72.05', '73.62', 'Thu, 20 Mar 2008 20:52:17', '733122.35995344340')
(113, '72.05', '73.62', 'Thu, 20 Mar 2008 20:52:20', '733122.35998824646')
(114, '72.05', '73.62', 'Thu, 20 Mar 2008 20:52:23', '733122.36002286768')
(115, '72.05', '73.40', 'Thu, 20 Mar 2008 20:52:26', '733122.36005768331')
(116, '72.05', '73.62', 'Thu, 20 Mar 2008 20:52:29', '733122.36009248940')
(117, '72.05', '73.62', 'Thu, 20 Mar 2008 20:52:32', '733122.36012712203')
(118, '72.05', '73.40', 'Thu, 20 Mar 2008 20:52:35', '733122.36016192613')
(119, '72.05', '73.40', 'Thu, 20 Mar 2008 20:52:38', '733122.36019674235')
(120, '72.05', '73.40', 'Thu, 20 Mar 2008 20:52:41', '733122.36023136426')
(121, '72.05', '73.40', 'Thu, 20 Mar 2008 20:52:44', '733122.36026618071')
(122, '72.05', '73.62', 'Thu, 20 Mar 2008 20:52:47', '733122.36030098551')
(123, '72.05', '73.40', 'Thu, 20 Mar 2008 20:52:50', '733122.36033561535')
(124, '72.05', '73.40', 'Thu, 20 Mar 2008 20:52:53', '733122.36037042155')
(125, '72.05', '73.40', 'Thu, 20 Mar 2008 20:52:56', '733122.36040505313')
(126, '72.05', '73.40', 'Thu, 20 Mar 2008 20:52:59', '733122.36043985968')
(127, '72.27', '73.40', 'Thu, 20 Mar 2008 20:53:02', '733122.36047447938')
(128, '72.05', '73.40', 'Thu, 20 Mar 2008 20:53:05', '733122.36050929560')
(129, '72.27', '73.40', 'Thu, 20 Mar 2008 20:53:08', '733122.36054409982')
(130, '72.05', '73.40', 'Thu, 20 Mar 2008 20:53:11', '733122.36057873559')
(131, '72.27', '73.40', 'Thu, 20 Mar 2008 20:53:14', '733122.36061353772')
(132, '72.27', '73.40', 'Thu, 20 Mar 2008 20:53:17', '733122.36064835649')
(133, '72.05', '73.40', 'Thu, 20 Mar 2008 20:53:20', '733122.36068297084')
(134, '72.05', '73.40', 'Thu, 20 Mar 2008 20:53:23', '733122.36071779195')
(135, '72.05', '73.40', 'Thu, 20 Mar 2008 20:53:26', '733122.36075241282')
(136, '72.05', '73.40', 'Thu, 20 Mar 2008 20:53:29', '733122.36078722496')
(137, '72.05', '73.40', 'Thu, 20 Mar 2008 20:53:32', '733122.36082184524')
(138, '72.27', '73.40', 'Thu, 20 Mar 2008 20:53:35', '733122.36085666250')
(139, '72.05', '73.40', 'Thu, 20 Mar 2008 20:53:38', '733122.36089148233')
(140, '72.27', '73.40', 'Thu, 20 Mar 2008 20:53:41', '733122.36092608783')
(141, '72.05', '73.17', 'Thu, 20 Mar 2008 20:53:44', '733122.36096090428')
(142, '72.27', '73.40', 'Thu, 20 Mar 2008 20:53:47', '733122.36099552480')
(143, '72.05', '73.40', 'Thu, 20 Mar 2008 20:53:50', '733122.36103034136')
(144, '72.27', '73.40', 'Thu, 20 Mar 2008 20:53:53', '733122.36106496176')
(145, '72.05', '73.40', 'Thu, 20 Mar 2008 20:53:56', '733122.36109977809')
(146, '72.05', '73.40', 'Thu, 20 Mar 2008 20:53:59', '733122.36113439791')
(147, '72.05', '73.40', 'Thu, 20 Mar 2008 20:54:02', '733122.36116921389')
(148, '72.27', '73.40', 'Thu, 20 Mar 2008 20:54:05', '733122.36120401951')
(149, '72.05', '73.40', 'Thu, 20 Mar 2008 20:54:08', '733122.36123865074')
(150, '72.27', '73.40', 'Thu, 20 Mar 2008 20:54:11', '733122.36127345625')
(151, '72.05', '73.40', 'Thu, 20 Mar 2008 20:54:14', '733122.36130808748')
(152, '72.05', '73.17', 'Thu, 20 Mar 2008 20:54:17', '733122.36134292011')
(153, '72.05', '73.17', 'Thu, 20 Mar 2008 20:54:20', '733122.36137751269')
(154, '72.05', '73.40', 'Thu, 20 Mar 2008 20:54:23', '733122.36141233006')
(155, '72.05', '73.40', 'Thu, 20 Mar 2008 20:54:26', '733122.36144713487')
(156, '72.27', '73.40', 'Thu, 20 Mar 2008 20:54:29', '733122.36148176691')
(157, '72.27', '73.17', 'Thu, 20 Mar 2008 20:54:32', '733122.36151657160')
(158, '72.27', '73.17', 'Thu, 20 Mar 2008 20:54:35', '733122.36155120318')
(159, '72.27', '73.17', 'Thu, 20 Mar 2008 20:54:38', '733122.36158600845')
(160, '72.05', '73.17', 'Thu, 20 Mar 2008 20:54:41', '733122.36162064027')
(161, '72.05', '73.40', 'Thu, 20 Mar 2008 20:54:44', '733122.36165544821')
(162, '72.27', '73.40', 'Thu, 20 Mar 2008 20:54:47', '733122.36169007723')
(163, '72.27', '73.17', 'Thu, 20 Mar 2008 20:54:50', '733122.36172488204')
(164, '72.05', '73.17', 'Thu, 20 Mar 2008 20:54:53', '733122.36175969918')
(165, '72.27', '73.17', 'Thu, 20 Mar 2008 20:54:56', '733122.36179431900')
(166, '72.27', '73.17', 'Thu, 20 Mar 2008 20:54:59', '733122.36182912486')
(167, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:02', '733122.36186375550')
(168, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:05', '733122.36189856101')
(169, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:08', '733122.36193319282')
(170, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:11', '733122.36196799821')
(171, '72.05', '73.17', 'Thu, 20 Mar 2008 20:55:14', '733122.36200281477')
(172, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:17', '733122.36203743494')
(173, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:20', '733122.36207225895')
(174, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:23', '733122.36210687202')
(175, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:26', '733122.36214168940')
(176, '72.27', '73.17', 'Thu, 20 Mar 2008 20:55:29', '733122.36217630876')
