Log Date and Time Fri, 21 Mar 2008 08:29:42
Ambient Kiln Date Date2Num

(70, '72.05', '253.45', 'Thu, 20 Mar 2008 20:50:11', '733121.98909117270')
(71, '72.05', '257.14', 'Thu, 20 Mar 2008 20:50:14', '733121.98912599019')
(72, '71.82', '252.99', 'Thu, 20 Mar 2008 20:50:17', '733121.98916061118')
(73, '71.82', '250.66', 'Thu, 20 Mar 2008 20:50:20', '733121.98919542925')
(74, '72.05', '252.30', 'Thu, 20 Mar 2008 20:50:23', '733121.98923022847')
(75, '72.05', '252.07', 'Thu, 20 Mar 2008 20:50:26', '733121.98926485353')
(76, '72.05', '254.84', 'Thu, 20 Mar 2008 20:50:29', '733121.98929966940')
(77, '72.05', '249.51', 'Thu, 20 Mar 2008 20:50:32', '733121.98933447548')
(78, '72.05', '253.45', 'Thu, 20 Mar 2008 20:50:35', '733121.98936929007')
(79, '72.05', '251.37', 'Thu, 20 Mar 2008 20:50:38', '733121.98940391175')
(80, '71.82', '252.75', 'Thu, 20 Mar 2008 20:50:41', '733121.98943872727')
(81, '72.05', '249.98', 'Thu, 20 Mar 2008 20:50:44', '733121.98947353417')
(82, '71.82', '251.37', 'Thu, 20 Mar 2008 20:50:47', '733121.98950834968')
(83, '72.05', '254.14', 'Thu, 20 Mar 2008 20:50:50', '733121.98954297113')
(84, '72.05', '254.14', 'Thu, 20 Mar 2008 20:50:53', '733121.98957778700')
(85, '72.05', '251.37', 'Thu, 20 Mar 2008 20:50:56', '733121.98961259250')
(86, '72.05', '250.66', 'Thu, 20 Mar 2008 20:50:59', '733121.98964740825')
(87, '72.05', '252.07', 'Thu, 20 Mar 2008 20:51:02', '733121.98968202947')
(88, '72.05', '250.66', 'Thu, 20 Mar 2008 20:51:05', '733121.98971683381')
(89, '72.05', '255.07', 'Thu, 20 Mar 2008 20:51:08', '733121.98975165235')
(90, '72.05', '255.07', 'Thu, 20 Mar 2008 20:51:11', '733121.98978645657')
(91, '72.05', '252.30', 'Thu, 20 Mar 2008 20:51:14', '733121.98982108885')
(92, '72.05', '253.69', 'Thu, 20 Mar 2008 20:51:17', '733121.98985589296')
(93, '72.05', '250.66', 'Thu, 20 Mar 2008 20:51:20', '733121.98989071022')
(94, '72.05', '250.66', 'Thu, 20 Mar 2008 20:51:23', '733121.98992532934')
(95, '72.05', '252.30', 'Thu, 20 Mar 2008 20:51:26', '733121.98996014718')
(96, '72.05', '251.37', 'Thu, 20 Mar 2008 20:51:29', '733121.98999495141')
(97, '72.05', '250.21', 'Thu, 20 Mar 2008 20:51:32', '733121.99002958450')
(98, '72.05', '252.30', 'Thu, 20 Mar 2008 20:51:35', '733121.99006438814')
(99, '72.05', '250.90', 'Thu, 20 Mar 2008 20:51:38', '733121.99009920645')
(100, '72.05', '250.66', 'Thu, 20 Mar 2008 20:51:41', '733121.99013382464')
(101, '72.05', '252.07', 'Thu, 20 Mar 2008 20:51:44', '733121.99016864412')
(102, '72.05', '251.37', 'Thu, 20 Mar 2008 20:51:47', '733121.99020344694')
(103, '72.05', '249.51', 'Thu, 20 Mar 2008 20:51:50', '733121.99023806932')
(104, '72.05', '248.59', 'Thu, 20 Mar 2008 20:51:53', '733121.99027288379')
(105, '72.05', '249.51', 'Thu, 20 Mar 2008 20:51:56', '733121.99030769104')
(106, '72.05', '249.28', 'Thu, 20 Mar 2008 20:51:59', '733121.99034232076')
(107, '72.05', '250.21', 'Thu, 20 Mar 2008 20:52:02', '733121.99037712719')
(108, '72.05', '250.66', 'Thu, 20 Mar 2008 20:52:05', '733121.99041194224')
(109, '72.05', '250.90', 'Thu, 20 Mar 2008 20:52:08', '733121.99044656404')
(110, '72.05', '251.37', 'Thu, 20 Mar 2008 20:52:11', '733121.99048137933')
(111, '72.05', '250.66', 'Thu, 20 Mar 2008 20:52:14', '733121.99051618646')
(112, '72.05', '250.90', 'Thu, 20 Mar 2008 20:52:17', '733121.99055081652')
(113, '72.05', '249.51', 'Thu, 20 Mar 2008 20:52:20', '733121.99058562343')
(114, '72.05', '250.90', 'Thu, 20 Mar 2008 20:52:23', '733121.99062043836')
(115, '72.05', '250.90', 'Thu, 20 Mar 2008 20:52:26', '733121.99065506004')
(116, '72.05', '249.98', 'Thu, 20 Mar 2008 20:52:29', '733121.99068986310')
(117, '72.05', '251.60', 'Thu, 20 Mar 2008 20:52:32', '733121.99072449654')
(118, '72.05', '252.75', 'Thu, 20 Mar 2008 20:52:35', '733121.99075930228')
(119, '72.05', '254.14', 'Thu, 20 Mar 2008 20:52:38', '733121.99079393374')
(120, '72.05', '255.76', 'Thu, 20 Mar 2008 20:52:41', '733121.99082873750')
(121, '72.05', '252.99', 'Thu, 20 Mar 2008 20:52:44', '733121.99086355593')
(122, '72.05', '250.66', 'Thu, 20 Mar 2008 20:52:47', '733121.99089817388')
(123, '72.05', '253.69', 'Thu, 20 Mar 2008 20:52:50', '733121.99093299184')
