Log Date and Time Wed, 19 Mar 2008 09:00:44
Ambient Kiln Date Date2Num

(70, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:18', '733119.69743602560')
(71, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:21', '733119.69747083599')
(72, '73.62', '75.42', 'Tue, 18 Mar 2008 16:44:24', '733119.69750563323')
(73, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:27', '733119.69754025748')
(74, '73.62', '75.42', 'Tue, 18 Mar 2008 16:44:30', '733119.69757505448')
(75, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:33', '733119.69760986429')
(76, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:36', '733119.69764466200')
(77, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:39', '733119.69767947216')
(78, '73.62', '75.42', 'Tue, 18 Mar 2008 16:44:42', '733119.69771426904')
(79, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:45', '733119.69774888130')
(80, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:48', '733119.69778369355')
(81, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:51', '733119.69781848765')
(82, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:54', '733119.69785329653')
(83, '73.62', '75.42', 'Tue, 18 Mar 2008 16:44:57', '733119.69788809610')
(84, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:00', '733119.69792290276')
(85, '73.62', '74.73', 'Tue, 18 Mar 2008 16:45:03', '733119.69795751607')
(86, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:06', '733119.69799232518')
(87, '73.62', '74.73', 'Tue, 18 Mar 2008 16:45:09', '733119.69802712253')
(88, '73.62', '74.73', 'Tue, 18 Mar 2008 16:45:12', '733119.69806193188')
(89, '73.62', '74.73', 'Tue, 18 Mar 2008 16:45:15', '733119.69809673005')
(90, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:18', '733119.69813153928')
(91, '73.40', '75.20', 'Tue, 18 Mar 2008 16:45:21', '733119.69816615118')
(92, '73.40', '75.20', 'Tue, 18 Mar 2008 16:45:24', '733119.69820094854')
(93, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:27', '733119.69823575846')
(94, '73.62', '74.73', 'Tue, 18 Mar 2008 16:45:30', '733119.69827055512')
(95, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:33', '733119.69830536505')
(96, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:36', '733119.69833997707')
(97, '73.62', '74.73', 'Tue, 18 Mar 2008 16:45:39', '733119.69837478641')
(98, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:42', '733119.69840958354')
(99, '73.40', '75.20', 'Tue, 18 Mar 2008 16:45:45', '733119.69844439358')
(100, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:48', '733119.69847919024')
(101, '73.62', '76.10', 'Tue, 18 Mar 2008 16:45:51', '733119.69851400063')
(102, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:54', '733119.69854861242')
(103, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:57', '733119.69858342304')
(104, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:00', '733119.69861821900')
(105, '73.62', '74.73', 'Tue, 18 Mar 2008 16:46:03', '733119.69865304627')
(106, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:06', '733119.69868782617')
(107, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:09', '733119.69872262445')
(108, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:12', '733119.69875724730')
(109, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:15', '733119.69879204629')
(110, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:18', '733119.69882685412')
(111, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:21', '733119.69886165275')
(112, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:24', '733119.69889646117')
(113, '73.40', '74.52', 'Tue, 18 Mar 2008 16:46:27', '733119.69893125922')
(114, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:30', '733119.69896588288')
(115, '73.62', '74.73', 'Tue, 18 Mar 2008 16:46:33', '733119.69900068140')
(116, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:36', '733119.69903549016')
(117, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:39', '733119.69907028775')
(118, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:42', '733119.69910509640')
(119, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:45', '733119.69913971052')
(120, '73.62', '76.10', 'Tue, 18 Mar 2008 16:46:48', '733119.69917450682')
(121, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:51', '733119.69920931640')
(122, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:54', '733119.69924411352')
(123, '73.62', '75.42', 'Tue, 18 Mar 2008 16:46:57', '733119.69927892380')
(124, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:00', '733119.69931371964')
(125, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:03', '733119.69934834493')
(126, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:06', '733119.69938314229')
(127, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:09', '733119.69941795140')
(128, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:12', '733119.69945274864')
(129, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:15', '733119.69948755996')
(130, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:18', '733119.69952235534')
(131, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:21', '733119.69955716515')
(132, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:24', '733119.69959196204')
(133, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:27', '733119.69962676126')
(134, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:30', '733119.69966156862')
(135, '73.62', '75.42', 'Tue, 18 Mar 2008 16:47:33', '733119.69969618227')
