Log Date and Time Thu, 20 Mar 2008 15:37:44
Ambient Kiln Date Date2Num

(70, '71.60', '71.60', 'Thu, 20 Mar 2008 15:37:09', '733121.65080728498')
(71, '71.60', '71.60', 'Thu, 20 Mar 2008 15:37:12', '733121.65084208210')
(72, '71.37', '71.37', 'Thu, 20 Mar 2008 15:37:15', '733121.65087689075')
(73, '71.60', '71.60', 'Thu, 20 Mar 2008 15:37:18', '733121.65091168904')
(74, '71.60', '71.60', 'Thu, 20 Mar 2008 15:37:21', '733121.65094637033')
(75, '71.37', '71.37', 'Thu, 20 Mar 2008 15:37:24', '733121.65098110982')
(76, '71.60', '71.60', 'Thu, 20 Mar 2008 15:37:27', '733121.65101591963')
(77, '71.60', '71.60', 'Thu, 20 Mar 2008 15:37:30', '733121.65105053282')
(78, '71.60', '71.60', 'Thu, 20 Mar 2008 15:37:33', '733121.65108534042')
(79, '71.37', '71.37', 'Thu, 20 Mar 2008 15:37:36', '733121.65112017444')
(80, '71.37', '71.37', 'Thu, 20 Mar 2008 15:37:39', '733121.65115494863')
(81, '71.37', '71.37', 'Thu, 20 Mar 2008 15:37:42', '733121.65118974494')
