Log Date and Time Thu, 20 Mar 2008 15:45:36
Ambient Kiln Date Date2Num

(0, '71.37', '71.37', 'Thu, 20 Mar 2008 15:33:33', '733121.65309095464')
(1, '71.60', '71.37', 'Thu, 20 Mar 2008 15:33:36', '733121.65312575921')
(2, '71.60', '71.37', 'Thu, 20 Mar 2008 15:33:39', '733121.65316036448')
(3, '71.60', '71.37', 'Thu, 20 Mar 2008 15:33:42', '733121.65319517429')
(4, '71.60', '71.37', 'Thu, 20 Mar 2008 15:33:45', '733121.65322979109')
(5, '71.60', '71.37', 'Thu, 20 Mar 2008 15:33:48', '733121.65326459578')
(6, '71.60', '71.60', 'Thu, 20 Mar 2008 15:33:51', '733121.65329939267')
(7, '71.60', '71.37', 'Thu, 20 Mar 2008 15:33:54', '733121.65333420271')
(8, '71.60', '71.37', 'Thu, 20 Mar 2008 15:33:57', '733121.65336899960')
(9, '71.60', '71.37', 'Thu, 20 Mar 2008 15:34:00', '733121.65340365854')
(10, '71.60', '71.37', 'Thu, 20 Mar 2008 15:34:03', '733121.65343842201')
(11, '71.60', '71.37', 'Thu, 20 Mar 2008 15:34:06', '733121.65347323276')
(12, '71.60', '71.60', 'Thu, 20 Mar 2008 15:34:09', '733121.65350802848')
(13, '71.60', '71.37', 'Thu, 20 Mar 2008 15:34:12', '733121.65354283771')
(14, '71.60', '71.37', 'Thu, 20 Mar 2008 15:34:15', '733121.65357763472')
(15, '71.37', '77.99', 'Thu, 20 Mar 2008 15:34:18', '733121.65361243591')
(16, '71.60', '85.51', 'Thu, 20 Mar 2008 15:34:21', '733121.65364729951')
(17, '71.60', '103.55', 'Thu, 20 Mar 2008 15:34:24', '733121.65368185809')
(18, '71.60', '109.49', 'Thu, 20 Mar 2008 15:34:27', '733121.65371666348')
(19, '71.37', '113.14', 'Thu, 20 Mar 2008 15:34:30', '733121.65375146258')
(20, '71.60', '115.21', 'Thu, 20 Mar 2008 15:34:33', '733121.65378626972')
(21, '71.37', '115.66', 'Thu, 20 Mar 2008 15:34:36', '733121.65382106812')
(22, '71.60', '117.03', 'Thu, 20 Mar 2008 15:34:39', '733121.65385587595')
(23, '71.60', '116.35', 'Thu, 20 Mar 2008 15:34:42', '733121.65389049007')
(24, '71.60', '116.35', 'Thu, 20 Mar 2008 15:34:45', '733121.65392529941')
(25, '71.60', '117.03', 'Thu, 20 Mar 2008 15:34:48', '733121.65396012296')
(26, '71.60', '117.03', 'Thu, 20 Mar 2008 15:34:51', '733121.65399491042')
(27, '71.60', '117.03', 'Thu, 20 Mar 2008 15:34:54', '733121.65402970510')
(28, '71.60', '117.03', 'Thu, 20 Mar 2008 15:34:57', '733121.65406449954')
(29, '71.60', '117.03', 'Thu, 20 Mar 2008 15:35:00', '733121.65409912530')
