Log Date and Time Mon, 03 Nov 2008 20:30:30
Ambient Kiln Date Date2Num

(70, '64.40', '159.73', 'Mon, 03 Nov 2008 13:34:02', '733349.56530549808')
(71, '64.40', '160.41', 'Mon, 03 Nov 2008 13:34:05', '733349.56534031569')
(72, '64.40', '160.41', 'Mon, 03 Nov 2008 13:34:08', '733349.56537493737')
(73, '64.40', '160.41', 'Mon, 03 Nov 2008 13:34:11', '733349.56540975475')
(74, '64.40', '161.10', 'Mon, 03 Nov 2008 13:34:14', '733349.56544437644')
(75, '64.40', '160.41', 'Mon, 03 Nov 2008 13:34:17', '733349.56547919416')
(76, '64.40', '161.80', 'Mon, 03 Nov 2008 13:34:20', '733349.56551381573')
(77, '64.40', '161.80', 'Mon, 03 Nov 2008 13:34:23', '733349.56554863311')
(78, '64.40', '161.80', 'Mon, 03 Nov 2008 13:34:26', '733349.56558325409')
(79, '64.40', '163.18', 'Mon, 03 Nov 2008 13:34:29', '733349.56561807182')
(80, '64.40', '162.48', 'Mon, 03 Nov 2008 13:34:32', '733349.56565287849')
(81, '64.40', '163.18', 'Mon, 03 Nov 2008 13:34:35', '733349.56568749913')
(82, '64.40', '163.18', 'Mon, 03 Nov 2008 13:34:38', '733349.56572231767')
(83, '64.40', '163.18', 'Mon, 03 Nov 2008 13:34:41', '733349.56575693842')
(84, '64.40', '163.87', 'Mon, 03 Nov 2008 13:34:44', '733349.56579175685')
(85, '64.40', '163.18', 'Mon, 03 Nov 2008 13:34:47', '733349.56582637783')
(86, '64.40', '163.87', 'Mon, 03 Nov 2008 13:34:50', '733349.56586119591')
(87, '64.40', '163.87', 'Mon, 03 Nov 2008 13:34:53', '733349.56589581666')
(88, '64.40', '163.87', 'Mon, 03 Nov 2008 13:34:56', '733349.56593063520')
(89, '64.40', '165.25', 'Mon, 03 Nov 2008 13:34:59', '733349.56596525584')
(90, '64.40', '163.87', 'Mon, 03 Nov 2008 13:35:02', '733349.56600007426')
(91, '64.40', '165.25', 'Mon, 03 Nov 2008 13:35:05', '733349.56603469502')
(92, '64.40', '165.25', 'Mon, 03 Nov 2008 13:35:08', '733349.56606951344')
(93, '64.40', '165.94', 'Mon, 03 Nov 2008 13:35:11', '733349.56610413350')
(94, '64.40', '165.94', 'Mon, 03 Nov 2008 13:35:14', '733349.56613895204')
(95, '64.40', '165.25', 'Mon, 03 Nov 2008 13:35:17', '733349.56617357279')
(96, '64.40', '166.62', 'Mon, 03 Nov 2008 13:35:20', '733349.56620839110')
(97, '64.40', '166.62', 'Mon, 03 Nov 2008 13:35:23', '733349.56624301185')
(98, '64.40', '166.62', 'Mon, 03 Nov 2008 13:35:26', '733349.56627783028')
(99, '64.40', '167.31', 'Mon, 03 Nov 2008 13:35:29', '733349.56631245103')
(100, '64.40', '167.31', 'Mon, 03 Nov 2008 13:35:32', '733349.56634726946')
(101, '64.40', '167.31', 'Mon, 03 Nov 2008 13:35:35', '733349.56638189009')
(102, '64.40', '167.31', 'Mon, 03 Nov 2008 13:35:38', '733349.56641669758')
(103, '64.40', '167.31', 'Mon, 03 Nov 2008 13:35:41', '733349.56645132916')
(104, '64.40', '167.31', 'Mon, 03 Nov 2008 13:35:44', '733349.56648613664')
(105, '64.40', '168.01', 'Mon, 03 Nov 2008 13:35:47', '733349.56652076845')
(106, '64.40', '168.69', 'Mon, 03 Nov 2008 13:35:50', '733349.56655557558')
(107, '64.40', '168.01', 'Mon, 03 Nov 2008 13:35:53', '733349.56659039296')
(108, '64.40', '169.39', 'Mon, 03 Nov 2008 13:35:56', '733349.56662575540')
(109, '64.40', '169.39', 'Mon, 03 Nov 2008 13:35:59', '733349.56666038744')
(110, '64.40', '169.39', 'Mon, 03 Nov 2008 13:36:02', '733349.56669519353')
(111, '64.40', '170.08', 'Mon, 03 Nov 2008 13:36:05', '733349.56672982615')
(112, '64.40', '170.08', 'Mon, 03 Nov 2008 13:36:08', '733349.56676463305')
