Log Date and Time Mon, 26 May 2008 04:15:29
Ambient Kiln Date Date2Num

(73, '73.40', '130.73', 'Sun, 25 May 2008 10:17:29', '733187.42881696450')
(74, '73.62', '130.26', 'Sun, 25 May 2008 10:17:32', '733187.42885159748')
(75, '73.40', '130.05', 'Sun, 25 May 2008 10:17:35', '733187.42888640356')
(76, '73.62', '130.26', 'Sun, 25 May 2008 10:17:38', '733187.42892103677')
(77, '73.40', '130.05', 'Sun, 25 May 2008 10:17:41', '733187.42895584251')
(78, '73.62', '130.26', 'Sun, 25 May 2008 10:17:44', '733187.42899066058')
(79, '73.40', '130.05', 'Sun, 25 May 2008 10:17:47', '733187.42902528122')
(80, '73.62', '130.26', 'Sun, 25 May 2008 10:17:50', '733187.42906009965')
(81, '73.62', '130.26', 'Sun, 25 May 2008 10:17:53', '733187.42909472040')
(82, '73.62', '130.95', 'Sun, 25 May 2008 10:17:56', '733187.42912953906')
(83, '73.62', '130.26', 'Sun, 25 May 2008 10:17:59', '733187.42916415969')
(84, '73.62', '130.26', 'Sun, 25 May 2008 10:18:02', '733187.42919897789')
(85, '73.62', '130.26', 'Sun, 25 May 2008 10:18:05', '733187.42923359887')
(86, '73.62', '130.26', 'Sun, 25 May 2008 10:18:08', '733187.42926841707')
(87, '73.62', '130.26', 'Sun, 25 May 2008 10:18:11', '733187.42930303817')
(88, '73.62', '130.26', 'Sun, 25 May 2008 10:18:14', '733187.42933785636')
(89, '73.62', '130.26', 'Sun, 25 May 2008 10:18:17', '733187.42937247700')
(90, '73.62', '130.26', 'Sun, 25 May 2008 10:18:20', '733187.42940728413')
(91, '73.62', '130.95', 'Sun, 25 May 2008 10:18:23', '733187.42944191617')
(92, '73.62', '130.26', 'Sun, 25 May 2008 10:18:26', '733187.42947672342')
(93, '73.62', '130.95', 'Sun, 25 May 2008 10:18:29', '733187.42951154022')
(94, '73.62', '130.95', 'Sun, 25 May 2008 10:18:32', '733187.42954616202')
(95, '73.62', '130.95', 'Sun, 25 May 2008 10:18:35', '733187.42958097928')
(96, '73.62', '130.95', 'Sun, 25 May 2008 10:18:38', '733187.42961560073')
(97, '73.62', '130.95', 'Sun, 25 May 2008 10:18:41', '733187.42965041858')
(98, '73.62', '130.95', 'Sun, 25 May 2008 10:18:44', '733187.42968503980')
(99, '73.62', '131.63', 'Sun, 25 May 2008 10:18:47', '733187.42971985752')
(100, '73.62', '131.63', 'Sun, 25 May 2008 10:18:50', '733187.42975447909')
(101, '73.62', '131.63', 'Sun, 25 May 2008 10:18:53', '733187.42978929658')
(102, '73.62', '131.63', 'Sun, 25 May 2008 10:18:56', '733187.42982391850')
(103, '73.62', '131.63', 'Sun, 25 May 2008 10:18:59', '733187.42985873576')
(104, '73.62', '131.63', 'Sun, 25 May 2008 10:19:02', '733187.42989335733')
(105, '73.62', '132.31', 'Sun, 25 May 2008 10:19:05', '733187.42992817506')
(106, '73.62', '132.31', 'Sun, 25 May 2008 10:19:08', '733187.42996279651')
(107, '73.62', '131.63', 'Sun, 25 May 2008 10:19:11', '733187.42999761424')
(108, '73.62', '132.31', 'Sun, 25 May 2008 10:19:14', '733187.43003223569')
(109, '73.62', '132.31', 'Sun, 25 May 2008 10:19:17', '733187.43006704154')
(110, '73.62', '132.31', 'Sun, 25 May 2008 10:19:20', '733187.43010167417')
(111, '73.62', '132.31', 'Sun, 25 May 2008 10:19:23', '733187.43013648025')
(112, '73.62', '132.31', 'Sun, 25 May 2008 10:19:26', '733187.43017111358')
(113, '73.62', '133.02', 'Sun, 25 May 2008 10:19:29', '733187.43020591943')
(114, '73.85', '133.25', 'Sun, 25 May 2008 10:19:32', '733187.43024055241')
(115, '73.62', '133.02', 'Sun, 25 May 2008 10:19:35', '733187.43027535861')
(116, '73.62', '133.70', 'Sun, 25 May 2008 10:19:38', '733187.43030999170')
(117, '73.62', '133.70', 'Sun, 25 May 2008 10:19:41', '733187.43034479790')
