Log Date and Time Thu, 28 Aug 2008 13:09:41
Ambient Kiln Date Date2Num

(0, '81.50', '749.10', 'Wed, 27 Aug 2008 19:55:27', '733281.83018022135')
(1, '81.50', '752.43', 'Wed, 27 Aug 2008 19:55:30', '733281.83021485456')
(2, '81.50', '755.78', 'Wed, 27 Aug 2008 19:55:33', '733281.83024966042')
(3, '81.50', '758.44', 'Wed, 27 Aug 2008 19:55:36', '733281.83028429351')
(4, '81.50', '761.11', 'Wed, 27 Aug 2008 19:55:39', '733281.83031909948')
(5, '81.72', '764.65', 'Wed, 27 Aug 2008 19:55:42', '733281.83035373257')
(6, '81.50', '765.79', 'Wed, 27 Aug 2008 19:55:45', '733281.83038853866')
(7, '81.50', '769.12', 'Wed, 27 Aug 2008 19:55:48', '733281.83042317163')
(8, '81.50', '771.78', 'Wed, 27 Aug 2008 19:55:51', '733281.83045797783')
(9, '81.50', '772.45', 'Wed, 27 Aug 2008 19:55:54', '733281.83049261093')
(10, '81.50', '775.78', 'Wed, 27 Aug 2008 19:55:57', '733281.83052741643')
(11, '81.50', '776.44', 'Wed, 27 Aug 2008 19:56:00', '733281.83056204999')
(12, '81.72', '778.64', 'Wed, 27 Aug 2008 19:56:03', '733281.83059685561')
(13, '81.72', '781.30', 'Wed, 27 Aug 2008 19:56:06', '733281.83063148870')
(14, '81.50', '782.44', 'Wed, 27 Aug 2008 19:56:09', '733281.83066629467')
(15, '81.50', '784.42', 'Wed, 27 Aug 2008 19:56:12', '733281.83070092776')
(16, '81.72', '786.63', 'Wed, 27 Aug 2008 19:56:15', '733281.83073573397')
(17, '81.50', '787.08', 'Wed, 27 Aug 2008 19:56:18', '733281.83077036694')
(18, '81.50', '789.08', 'Wed, 27 Aug 2008 19:56:21', '733281.83080517291')
(19, '81.72', '791.94', 'Wed, 27 Aug 2008 19:56:24', '733281.83083980600')
(20, '81.50', '791.08', 'Wed, 27 Aug 2008 19:56:27', '733281.83087461232')
(21, '81.50', '793.74', 'Wed, 27 Aug 2008 19:56:30', '733281.83090923377')
(22, '81.72', '795.27', 'Wed, 27 Aug 2008 19:56:33', '733281.83094405127')
(23, '81.72', '795.27', 'Wed, 27 Aug 2008 19:56:36', '733281.83097867307')
(24, '81.72', '797.94', 'Wed, 27 Aug 2008 19:56:39', '733281.83101349091')
(25, '81.50', '797.72', 'Wed, 27 Aug 2008 19:56:42', '733281.83104829758')
(26, '81.50', '799.05', 'Wed, 27 Aug 2008 19:56:45', '733281.83108292951')
(27, '81.50', '801.05', 'Wed, 27 Aug 2008 19:56:48', '733281.83111773618')
(28, '81.50', '800.38', 'Wed, 27 Aug 2008 19:56:51', '733281.83115236845')
(29, '81.50', '801.05', 'Wed, 27 Aug 2008 19:56:54', '733281.83118717512')
(30, '81.50', '803.71', 'Wed, 27 Aug 2008 19:56:57', '733281.83122180821')
(31, '81.72', '803.91', 'Wed, 27 Aug 2008 19:57:00', '733281.83125661407')
(32, '81.72', '805.24', 'Wed, 27 Aug 2008 19:57:03', '733281.83129124646')
(33, '81.72', '806.58', 'Wed, 27 Aug 2008 19:57:06', '733281.83132605336')
(34, '81.72', '805.91', 'Wed, 27 Aug 2008 19:57:09', '733281.83136068564')
(35, '81.72', '807.89', 'Wed, 27 Aug 2008 19:57:12', '733281.83139549242')
(36, '81.50', '808.36', 'Wed, 27 Aug 2008 19:57:15', '733281.83143012482')
(37, '81.72', '808.56', 'Wed, 27 Aug 2008 19:57:18', '733281.83146493172')
(38, '81.72', '809.89', 'Wed, 27 Aug 2008 19:57:21', '733281.83149956400')
(39, '81.72', '810.55', 'Wed, 27 Aug 2008 19:57:24', '733281.83153437078')
(40, '81.72', '810.55', 'Wed, 27 Aug 2008 19:57:27', '733281.83156918839')
(41, '81.72', '812.53', 'Wed, 27 Aug 2008 19:57:30', '733281.83160380996')
(42, '81.72', '812.53', 'Wed, 27 Aug 2008 19:57:33', '733281.83163861581')
(43, '81.72', '813.20', 'Wed, 27 Aug 2008 19:57:36', '733281.83167324832')
(44, '81.72', '814.53', 'Wed, 27 Aug 2008 19:57:39', '733281.83170805441')
(45, '81.50', '813.67', 'Wed, 27 Aug 2008 19:57:42', '733281.83174268750')
(46, '81.72', '815.20', 'Wed, 27 Aug 2008 19:57:45', '733281.83177749370')
(47, '81.50', '814.98', 'Wed, 27 Aug 2008 19:57:48', '733281.83181212668')
(48, '81.72', '815.20', 'Wed, 27 Aug 2008 19:57:51', '733281.83184693276')
(49, '81.72', '817.18', 'Wed, 27 Aug 2008 19:57:54', '733281.83188156586')
(50, '81.72', '816.51', 'Wed, 27 Aug 2008 19:57:57', '733281.83191637194')
(51, '81.72', '816.51', 'Wed, 27 Aug 2008 19:58:00', '733281.83195100504')
(52, '81.72', '818.51', 'Wed, 27 Aug 2008 19:58:03', '733281.83198581112')
(53, '81.50', '818.31', 'Wed, 27 Aug 2008 19:58:06', '733281.83202047972')
(54, '81.72', '819.18', 'Wed, 27 Aug 2008 19:58:09', '733281.83205525018')
(55, '81.50', '819.63', 'Wed, 27 Aug 2008 19:58:12', '733281.83208988316')
(56, '81.72', '819.84', 'Wed, 27 Aug 2008 19:58:15', '733281.83212468959')
(57, '81.72', '821.16', 'Wed, 27 Aug 2008 19:58:18', '733281.83215950755')
(58, '81.72', '820.51', 'Wed, 27 Aug 2008 19:58:21', '733281.83219412796')
(59, '81.72', '821.16', 'Wed, 27 Aug 2008 19:58:24', '733281.83222894638')
(60, '81.72', '821.16', 'Wed, 27 Aug 2008 19:58:27', '733281.83226356725')
(61, '81.72', '821.82', 'Wed, 27 Aug 2008 19:58:30', '733281.83229838545')
(62, '81.72', '822.49', 'Wed, 27 Aug 2008 19:58:33', '733281.83233300620')
(63, '81.72', '822.49', 'Wed, 27 Aug 2008 19:58:36', '733281.83236782474')
(64, '81.72', '823.82', 'Wed, 27 Aug 2008 19:58:39', '733281.83240244538')
(65, '81.72', '823.82', 'Wed, 27 Aug 2008 19:58:42', '733281.83243725204')
(66, '81.72', '823.15', 'Wed, 27 Aug 2008 19:58:45', '733281.83247188444')
(67, '81.50', '824.94', 'Wed, 27 Aug 2008 19:58:48', '733281.83250669111')
(68, '81.72', '823.82', 'Wed, 27 Aug 2008 19:58:51', '733281.83254132373')
(69, '81.72', '825.15', 'Wed, 27 Aug 2008 19:58:54', '733281.83257613040')
(70, '81.72', '825.15', 'Wed, 27 Aug 2008 19:58:57', '733281.83261076279')
(71, '81.72', '825.15', 'Wed, 27 Aug 2008 19:59:00', '733281.83264556970')
(72, '81.72', '825.80', 'Wed, 27 Aug 2008 19:59:03', '733281.83268020209')
(73, '81.72', '825.15', 'Wed, 27 Aug 2008 19:59:06', '733281.83271500829')
(74, '81.72', '827.13', 'Wed, 27 Aug 2008 19:59:09', '733281.83274964057')
(75, '81.72', '826.47', 'Wed, 27 Aug 2008 19:59:12', '733281.83278444735')
(76, '81.72', '827.13', 'Wed, 27 Aug 2008 19:59:15', '733281.83281907986')
(77, '81.72', '827.13', 'Wed, 27 Aug 2008 19:59:18', '733281.83285388642')
(78, '81.72', '827.80', 'Wed, 27 Aug 2008 19:59:21', '733281.83288851869')
