Log Date and Time Thu, 07 Aug 2008 19:15:03
Ambient Kiln Date Date2Num

(70, '85.77', '116.19', 'Wed, 06 Aug 2008 17:28:36', '733260.72820432310')
(71, '85.77', '116.87', 'Wed, 06 Aug 2008 17:28:39', '733260.72823913000')
(72, '85.77', '116.87', 'Wed, 06 Aug 2008 17:28:42', '733260.72827376239')
(73, '85.77', '117.55', 'Wed, 06 Aug 2008 17:28:45', '733260.72830856859')
(74, '85.55', '117.36', 'Wed, 06 Aug 2008 17:28:48', '733260.72834318981')
(75, '85.77', '117.55', 'Wed, 06 Aug 2008 17:28:51', '733260.72837800777')
(76, '85.77', '118.26', 'Wed, 06 Aug 2008 17:28:54', '733260.72841262852')
(77, '85.77', '118.94', 'Wed, 06 Aug 2008 17:28:57', '733260.72844744695')
(78, '85.77', '118.94', 'Wed, 06 Aug 2008 17:29:00', '733260.72848206747')
(79, '85.55', '119.41', 'Wed, 06 Aug 2008 17:29:03', '733260.72851688613')
(80, '85.55', '120.09', 'Wed, 06 Aug 2008 17:29:06', '733260.72855150688')
(81, '85.77', '120.31', 'Wed, 06 Aug 2008 17:29:09', '733260.72858632519')
(82, '85.55', '120.78', 'Wed, 06 Aug 2008 17:29:12', '733260.72862094583')
(83, '85.55', '120.78', 'Wed, 06 Aug 2008 17:29:15', '733260.72865576437')
(84, '85.77', '121.68', 'Wed, 06 Aug 2008 17:29:18', '733260.72869038500')
(85, '85.55', '120.78', 'Wed, 06 Aug 2008 17:29:21', '733260.72872520343')
(86, '85.77', '121.68', 'Wed, 06 Aug 2008 17:29:24', '733260.72875982418')
(87, '85.77', '121.68', 'Wed, 06 Aug 2008 17:29:27', '733260.72879464272')
(88, '85.77', '122.36', 'Wed, 06 Aug 2008 17:29:30', '733260.72882926301')
(89, '85.55', '122.16', 'Wed, 06 Aug 2008 17:29:33', '733260.72886408132')
(90, '85.77', '123.06', 'Wed, 06 Aug 2008 17:29:36', '733260.72889870196')
(91, '85.77', '123.06', 'Wed, 06 Aug 2008 17:29:39', '733260.72893352038')
(92, '85.55', '123.53', 'Wed, 06 Aug 2008 17:29:42', '733260.72896832624')
(93, '85.77', '124.43', 'Wed, 06 Aug 2008 17:29:45', '733260.72900295956')
(94, '85.77', '123.75', 'Wed, 06 Aug 2008 17:29:48', '733260.72903776541')
(95, '85.77', '125.11', 'Wed, 06 Aug 2008 17:29:51', '733260.72907239874')
(96, '85.77', '124.43', 'Wed, 06 Aug 2008 17:29:54', '733260.72910720459')
(97, '85.77', '125.11', 'Wed, 06 Aug 2008 17:29:57', '733260.72914183780')
(98, '85.55', '124.90', 'Wed, 06 Aug 2008 17:30:00', '733260.72917664377')
(99, '85.77', '125.82', 'Wed, 06 Aug 2008 17:30:03', '733260.72921126545')
(100, '85.77', '126.50', 'Wed, 06 Aug 2008 17:30:06', '733260.72924608295')
(101, '85.77', '126.50', 'Wed, 06 Aug 2008 17:30:09', '733260.72928070452')
(102, '85.55', '126.28', 'Wed, 06 Aug 2008 17:30:12', '733260.72931552201')
(103, '85.77', '126.50', 'Wed, 06 Aug 2008 17:30:15', '733260.72935014393')
(104, '85.77', '127.18', 'Wed, 06 Aug 2008 17:30:18', '733260.72938496131')
(105, '85.77', '127.18', 'Wed, 06 Aug 2008 17:30:21', '733260.72941958276')
(106, '85.77', '127.87', 'Wed, 06 Aug 2008 17:30:24', '733260.72945440002')
(107, '85.77', '128.55', 'Wed, 06 Aug 2008 17:30:27', '733260.72948902159')
(108, '85.77', '128.55', 'Wed, 06 Aug 2008 17:30:30', '733260.72952383896')
(109, '85.77', '128.55', 'Wed, 06 Aug 2008 17:30:33', '733260.72955846065')
(110, '85.77', '128.55', 'Wed, 06 Aug 2008 17:30:36', '733260.72959327803')
