('69.57', 733054.53175639233)
('69.57', 733054.53178454144)
('69.57', 733054.5318125526)
('69.57', 733054.53184065572)
('69.57', 733054.53186917549)
('69.57', 733054.53189806582)
('69.57', 733054.53192714218)
('69.57', 733054.53195640189)
('69.57', 733054.53198603308)
('69.57', 733054.53201584925)
('69.57', 733054.53204598965)
('69.57', 733054.53207636147)
('69.57', 733054.53210691852)
('69.57', 733054.53213784588)
('69.57', 733054.53216840327)
('69.57', 733054.53219988605)
('69.57', 733054.53223173937)
('69.57', 733054.53226377792)
('69.57', 733054.53229595546)
('69.57', 733054.53232378082)
('69.35', 733054.53235155996)
('69.57', 733054.53237910755)
('69.57', 733054.53240670147)
('69.57', 733054.53243448061)
('69.57', 733054.53246225975)
('69.57', 733054.53249003901)
('69.35', 733054.53251781815)
('69.57', 733054.53254578228)
('69.57', 733054.53257374663)
('69.57', 733054.53260171157)
('69.57', 733054.5326296289)
('69.57', 733054.53265759326)
('69.57', 733054.53268555761)
('69.57', 733054.53271352197)
('69.57', 733054.53274148633)
('69.57', 733054.53276963579)
('69.35', 733054.53279778536)
('69.57', 733054.5328259347)
('69.57', 733054.53285408416)
('69.57', 733054.53288223362)
('69.57', 733054.53291033697)
('69.57', 733054.53293848643)
('69.57', 733054.53296663589)
('69.57', 733054.53299478546)
('69.35', 733054.53302312014)
('69.57', 733054.53305145598)
('69.57', 733054.53307978972)
('69.57', 733054.53310812428)
('69.57', 733054.53313664417)
('69.57', 733054.53316516406)
('69.35', 733054.53319363762)
('69.57', 733054.53322197241)
('69.57', 733054.5332504923)
('69.57', 733054.53327901219)
('69.35', 733054.53330753208)
('69.57', 733054.53333605197)
('69.57', 733054.53336475708)
('69.35', 733054.53339346219)
('69.57', 733054.5334221673)
('69.57', 733054.53345082607)
('69.35', 733054.53347953595)
('69.57', 733054.53350823617)
('69.35', 733054.5335369414)
('69.35', 733054.5335656465)
('69.57', 733054.53359453683)
('69.57', 733054.53362342715)
('69.35', 733054.53365227103)
('69.35', 733054.53368116217)
('69.57', 733054.53371023678)
('69.57', 733054.53373912699)
('69.57', 733054.53376801731)
('69.35', 733054.53379690775)
('69.35', 733054.53382598318)
('69.35', 733054.5338550586)
('69.57', 733054.53388413403)
('69.57', 733054.53391316347)
('69.35', 733054.53394223924)
('69.35', 733054.53397150023)
('69.35', 733054.53400076006)
('69.57', 733054.53403002082)
('69.57', 733054.53405928146)
('69.57', 733054.53408854222)
('69.35', 733054.53411780286)
('69.35', 733054.5341470635)
('69.35', 733054.53417650948)
('69.57', 733054.534205909)
('69.35', 733054.53423540108)
('69.35', 733054.53426480142)
('69.35', 733054.53429443191)
('69.57', 733054.53432387754)
('69.35', 733054.53435332351)
('69.35', 733054.53438276937)
('69.35', 733054.53441240056)
('69.57', 733054.53444203152)
('69.35', 733054.53447161638)
('69.35', 733054.53450124734)
('69.57', 733054.53453106375)
('69.35', 733054.53456087993)
('69.35', 733054.5345906961)
('69.35', 733054.53462051239)
('69.35', 733054.53465032869)
('69.35', 733054.53467977454)
('69.35', 733054.53470959084)
('69.35', 733054.53473959235)
('69.35', 733054.53476959362)
('69.35', 733054.53479954891)
('69.35', 733054.53482955054)
('69.35', 733054.5348595517)
('69.35', 733054.53488973831)
('69.35', 733054.53491992515)
('69.57', 733054.53495015798)
('69.35', 733054.53498034435)
('69.57', 733054.53500715143)
('69.35', 733054.53503733827)
('69.35', 733054.53506734048)
('69.35', 733054.5350951188)
('69.35', 733054.53512289794)
('69.35', 733054.53515067708)
('69.35', 733054.53517845611)
('69.35', 733054.53520623525)
('69.35', 733054.5352340145)
('69.35', 733054.53526235535)
('69.35', 733054.53529068374)
('69.35', 733054.53531901841)
('69.35', 733054.53534730687)
('69.35', 733054.53537564154)
('69.35', 733054.53540397633)
('69.35', 733054.53543231089)
('69.35', 733054.53546064789)
('69.35', 733054.53548898036)
('69.35', 733054.53551731515)
('69.35', 733054.53554583574)
('69.35', 733054.53557416983)
('69.35', 733054.53560245817)
('69.35', 733054.53563079285)
('69.35', 733054.53565912752)
('69.35', 733054.53568746219)
('69.57', 733054.53571579687)
('69.35', 733054.53574413154)
('69.35', 733054.53577246622)
('69.35', 733054.53580098611)
('69.35', 733054.53582950612)
('69.35', 733054.53585784091)
('69.35', 733054.53588612925)
('69.35', 733054.53591446392)
('69.35', 733054.5359427986)
('69.35', 733054.53597113315)
('69.35', 733054.53599946795)
('69.57', 733054.53602780274)
('69.35', 733054.53605632263)
('69.35', 733054.53608465753)
('69.35', 733054.53611317731)
('69.35', 733054.53614165087)
('69.35', 733054.53617017064)
('69.35', 733054.53619869053)
('69.35', 733054.53622721042)
('69.35', 733054.53625573032)
('69.35', 733054.53628425032)
('69.35', 733054.53631277021)
('69.35', 733054.53634129011)
('69.57', 733054.53636981)
('69.35', 733054.53639832977)
('69.35', 733054.53642680345)
('69.35', 733054.53645532334)
('69.35', 733054.53648384323)
('69.35', 733054.53651236312)
('69.35', 733054.53654088313)
('69.35', 733054.5365694029)
('69.35', 733054.53659792303)
('69.35', 733054.53662644268)
('69.35', 733054.53665496258)
('69.35', 733054.53668343613)
('69.35', 733054.53671195614)
('69.35', 733054.53674066137)
('69.35', 733054.53676918196)
('69.35', 733054.53679770103)
('69.35', 733054.53682622092)
('69.35', 733054.53685474081)
('69.35', 733054.53688339947)
('69.35', 733054.53691191948)
('69.35', 733054.53694043937)
('69.35', 733054.5369689595)
('69.35', 733054.53699747939)
('69.35', 733054.53702599974)
('69.35', 733054.53705451905)
('69.35', 733054.53708322486)
('69.35', 733054.53711174405)
('69.35', 733054.53714044916)
('69.35', 733054.53716910793)
('69.35', 733054.53719762783)
('69.35', 733054.53722614783)
('69.35', 733054.53725466761)
('69.35', 733054.5372831875)
('69.35', 733054.53731170739)
('69.35', 733054.53734022728)
('69.35', 733054.53736874729)
('69.35', 733054.53739745298)
('69.35', 733054.53742597299)
('69.35', 733054.53745467728)
('69.35', 733054.53748333617)
('69.35', 733054.53751185688)
('69.35', 733054.53754056129)
('69.35', 733054.53756926616)
('69.35', 733054.53759797127)
('69.35', 733054.53762667638)
('69.35', 733054.53765538137)
('69.35', 733054.53768408648)
('69.35', 733054.53771279159)
('69.35', 733054.53774145048)
('69.35', 733054.53777015558)
('69.35', 733054.53779886058)
('69.35', 733054.53782756568)
('69.35', 733054.53785627079)
