('70.92', 733056.63971568376)
('70.92', 733056.63974331308)
('70.92', 733056.63977049151)
('70.92', 733056.63979771372)
('70.92', 733056.6398249357)
('70.92', 733056.63985215873)
('71.15', 733056.63987924764)
('70.92', 733056.63990618882)
('70.92', 733056.63993304095)
('70.92', 733056.63996007817)
('70.92', 733056.63998706941)
('70.92', 733056.6400141092)
('70.92', 733056.64004095993)
('70.92', 733056.64006781252)
('70.92', 733056.64009489608)
('70.92', 733056.6401218425)
('70.92', 733056.64014869602)
('70.92', 733056.6401755478)
('70.92', 733056.64020276919)
('70.92', 733056.64022976148)
('71.15', 733056.64025661431)
('70.92', 733056.64028346667)
('70.92', 733056.64031031867)
('70.92', 733056.64033749618)
('70.92', 733056.64036587568)
('70.92', 733056.6403934235)
('70.92', 733056.64042046049)
('70.92', 733056.64044745138)
('70.92', 733056.64047430502)
('70.92', 733056.6405011575)
('70.92', 733056.64052819589)
('70.92', 733056.64055578795)
('70.92', 733056.64058361272)
('70.92', 733056.64061083528)
('70.92', 733056.64063801186)
('70.92', 733056.64066532941)
('70.92', 733056.64069278201)
('70.92', 733056.6407200048)
('70.92', 733056.64074722794)
('70.92', 733056.64077463676)
('70.92', 733056.64080218447)
('70.92', 733056.64082922065)
('70.92', 733056.64085644344)
('70.92', 733056.64088436181)
('70.92', 733056.64091158658)
('70.92', 733056.64093940868)
('70.92', 733056.64096639969)
('70.92', 733056.64099399396)
('70.92', 733056.64102117135)
('70.92', 733056.64104820788)
('70.92', 733056.64107529155)
('70.92', 733056.64110246801)
('70.92', 733056.64112973784)
('70.92', 733056.64115691371)
('70.92', 733056.64118390623)
('70.92', 733056.64121098944)
('70.92', 733056.64123816777)
('70.92', 733056.64126543526)
('70.92', 733056.64129298367)
('70.92', 733056.64132053056)
('70.92', 733056.641347614)
('70.92', 733056.64137548592)
('70.92', 733056.6414027079)
('70.92', 733056.64142979111)
('70.92', 733056.64145692182)
('70.92', 733056.64148405299)
('70.92', 733056.64151118265)
('70.92', 733056.64153822057)
('70.92', 733056.64156525803)
('70.92', 733056.64159224951)
('70.92', 733056.64161928697)
('70.92', 733056.64164632617)
('70.92', 733056.64167336421)
('70.92', 733056.64170132694)
('70.92', 733056.64172850305)
('70.92', 733056.64175554132)
('70.92', 733056.641782764)
('70.92', 733056.64181105094)
('70.92', 733056.64183873706)
('70.92', 733056.6418661013)
('70.92', 733056.64189383364)
('70.92', 733056.64192142559)
('70.92', 733056.64194966678)
('70.92', 733056.64197679621)
('70.92', 733056.64200434322)
('70.92', 733056.64203161234)
('70.92', 733056.64205897448)
('70.92', 733056.64208619797)
('70.92', 733056.64211379038)
('70.92', 733056.64214124472)
('70.92', 733056.64216888405)
('70.92', 733056.64219638542)
('70.92', 733056.64222356165)
('70.92', 733056.64225097047)
('70.92', 733056.64227842377)
('70.92', 733056.64230574074)
('70.92', 733056.6423329626)
('70.92', 733056.64236018539)
('70.92', 733056.64238851937)
('70.92', 733056.64241588721)
('70.92', 733056.64244328951)
('70.92', 733056.64247055841)
('70.92', 733056.64249792229)
('70.92', 733056.64252620796)
('70.92', 733056.64255380712)
('70.92', 733056.64258417347)
('70.92', 733056.64261158044)
('70.70', 733056.64263898844)
('70.92', 733056.6426665365)
('70.92', 733056.64269394428)
('70.92', 733056.64272153738)
('70.92', 733056.64274931594)
('70.92', 733056.642777881)
('70.92', 733056.64280616958)
('70.92', 733056.64283487352)
('70.92', 733056.64286293101)
('70.92', 733056.64289070794)
('70.92', 733056.64292238001)
('70.92', 733056.64294996893)
('70.92', 733056.64297751593)
('70.92', 733056.64300510962)
('70.92', 733056.64303288853)
('70.92', 733056.64306154614)
('70.92', 733056.64308987965)
('70.92', 733056.64311789256)
('70.92', 733056.6431466405)
('70.92', 733056.64317520685)
('70.70', 733056.6432032173)
('70.92', 733056.64323081065)
('70.92', 733056.64325900492)
('70.92', 733056.6432879878)
('70.92', 733056.64331562654)
('70.92', 733056.64334317355)
('70.92', 733056.64337058249)
('70.92', 733056.643398221)
('70.92', 733056.64342576801)
('70.92', 733056.64345313073)
('70.92', 733056.64348053804)
('70.92', 733056.64350813197)
('70.92', 733056.64353567874)
('70.92', 733056.64356290177)
('70.92', 733056.64359049487)
('70.92', 733056.64361822675)
('70.92', 733056.64364790451)
('70.92', 733056.64367748809)
('70.92', 733056.64370508248)
('70.92', 733056.64373253472)
('70.70', 733056.64376008173)
('70.92', 733056.643787815)
('70.92', 733056.64381550043)
('70.92', 733056.64384337224)
('70.92', 733056.64387105755)
('70.92', 733056.64389948372)
('70.92', 733056.64392721734)
('70.92', 733056.64395499544)
('70.92', 733056.6439825875)
('70.92', 733056.64401110727)
('70.92', 733056.64403865556)
('70.70', 733056.64406606299)
('70.92', 733056.64409347135)
('70.92', 733056.64412087901)
('70.92', 733056.6441484713)
('70.92', 733056.64417606487)
('70.92', 733056.6442036127)
('70.92', 733056.64423139009)
('70.70', 733056.64425912336)
('70.92', 733056.64428680809)
('70.70', 733056.6443156997)
('70.92', 733056.64434370853)
('70.92', 733056.64437120862)
('70.70', 733056.64439875621)
('70.92', 733056.64442653488)
('70.92', 733056.64445431379)
('70.92', 733056.64448204543)
('70.70', 733056.64450963796)
('70.92', 733056.64453746402)
('70.92', 733056.64456514944)
('70.70', 733056.64459274395)
('70.92', 733056.64462033543)
('70.70', 733056.64464853087)
('70.92', 733056.64467626309)
('70.92', 733056.64470385632)
('70.70', 733056.64473140496)
('70.70', 733056.64475881075)
('70.92', 733056.64478640445)
('70.92', 733056.64481418394)
('70.92', 733056.64484173013)
('70.92', 733056.6448691379)
('70.70', 733056.64489673183)
('70.92', 733056.64492446359)
('70.70', 733056.64495187241)
('70.92', 733056.64497927995)
('70.70', 733056.64500668866)
('70.92', 733056.64503423509)
('70.70', 733056.64506164368)
('70.92', 733056.64508928324)
('70.92', 733056.64511687588)
('70.92', 733056.6451443769)
('70.70', 733056.64517215535)
('70.92', 733056.64519974892)
('70.92', 733056.64522734308)
('70.92', 733056.64525493491)
('70.70', 733056.64528266678)
('70.92', 733056.64531026117)
('70.70', 733056.64533803903)
('70.92', 733056.64536567824)
('70.70', 733056.64539317903)
('70.92', 733056.64542077354)
('70.92', 733056.64544836641)
('70.92', 733056.6454759601)
('70.70', 733056.64550350618)
('70.70', 733056.64553109941)
('70.92', 733056.6455598498)
('70.92', 733056.64558790636)
('70.92', 733056.64561554685)
('70.92', 733056.64564313914)
('70.70', 733056.6456709177)
('70.92', 733056.64569892804)
('70.70', 733056.6457266137)
('70.70', 733056.64575425361)
('70.92', 733056.6457819856)
('70.92', 733056.64580976393)
('70.70', 733056.64583754214)
('70.70', 733056.64586527564)
('70.92', 733056.64589305292)
('70.92', 733056.64592083241)
('70.92', 733056.64594879502)
('70.70', 733056.64597675868)
('70.92', 733056.64600467787)
('70.70', 733056.64603245456)
('70.70', 733056.64606041857)
('70.70', 733056.64608870773)
('70.92', 733056.64611648535)
('70.92', 733056.64614412433)
('70.92', 733056.64617185644)
('70.92', 733056.64619940415)
('70.92', 733056.64622699679)
('70.92', 733056.64625477511)
('70.70', 733056.64628236799)
('70.70', 733056.64630991686)
('70.70', 733056.64633751032)
('70.92', 733056.64636514743)
('70.92', 733056.6463928814)
('70.70', 733056.64642065915)
('70.70', 733056.64644820662)
('70.92', 733056.64647598541)
('70.70', 733056.64650357782)
('70.92', 733056.64653112472)
('70.70', 733056.64655871841)
('70.70', 733056.64658631186)
('70.70', 733056.64661409147)
('70.70', 733056.64664182207)
('70.92', 733056.64666960028)
('70.70', 733056.64669700956)
('70.70', 733056.64672460232)
('70.92', 733056.64675214933)
('70.92', 733056.64677955734)
('70.70', 733056.64680872427)
('70.70', 733056.64683687291)
('70.70', 733056.64686479117)
('70.70', 733056.64689238416)
('70.70', 733056.6469201165)
('70.92', 733056.64694807981)
('70.92', 733056.64697604347)
('70.92', 733056.64700433135)
('70.70', 733056.6470319255)
('70.70', 733056.6470597029)
('70.92', 733056.64708785177)
('70.92', 733056.6471156301)
('70.92', 733056.64714317943)
('70.70', 733056.64717100246)
('70.92', 733056.64719887392)
('70.92', 733056.64722646761)
('70.70', 733056.64725429099)
('70.70', 733056.64728188491)
('70.92', 733056.64730966266)
('70.70', 733056.64733739581)
('70.70', 733056.64736494282)
('70.70', 733056.64739258157)
('70.92', 733056.64742031437)
('70.92', 733056.6474480927)
('70.70', 733056.64747601037)
('70.70', 733056.64750360325)
('70.92', 733056.64753119671)
('70.70', 733056.64755892905)
('70.70', 733056.64758670749)
('70.70', 733056.64761430258)
('70.70', 733056.64764207904)
('70.70', 733056.64766985702)
('70.70', 733056.64769758936)
('70.70', 733056.64772559959)
('70.70', 733056.64775314729)
('70.70', 733056.64778069349)
('70.92', 733056.64780828694)
('70.70', 733056.64783588063)
('70.92', 733056.64786347398)
('70.70', 733056.64789106685)
('70.70', 733056.64791861444)
('70.70', 733056.64794620697)
('70.70', 733056.64797380066)
('70.70', 733056.648001394)
('70.92', 733056.64802903286)
('70.92', 733056.64805783075)
('70.70', 733056.64808584051)
('70.70', 733056.64811361884)
('70.70', 733056.64814116643)
('70.70', 733056.64816885139)
('70.92', 733056.64819676906)
('70.70', 733056.64822468616)
('70.70', 733056.64825232583)
('70.70', 733056.64828001184)
('70.70', 733056.64830783673)
('70.70', 733056.64833580016)
('70.70', 733056.64836404216)
('70.70', 733056.64839200559)
('70.70', 733056.64841959835)
('70.92', 733056.64844737737)
('70.70', 733056.64847534045)
('70.70', 733056.64850311959)
('70.70', 733056.6485306666)
('70.92', 733056.64855862968)
('70.70', 733056.64858640847)
('70.70', 733056.64861409401)
('70.70', 733056.64864173415)
('70.70', 733056.64866951259)
('70.70', 733056.64869743015)
('70.70', 733056.64872502396)
('70.92', 733056.64875266422)
('70.70', 733056.64878025569)
('70.70', 733056.64880820853)
('70.92', 733056.64883609093)
('70.70', 733056.64886428567)
('70.70', 733056.64889206423)
('70.70', 733056.64891979622)
('70.70', 733056.64894775976)
('70.70', 733056.64897572424)
('70.70', 733056.64900382666)
('70.70', 733056.64903160487)
('70.70', 733056.64905952208)
('70.70', 733056.64908730122)
('70.70', 733056.64911508001)
('70.70', 733056.64914285869)
('70.70', 733056.64917058963)
('70.70', 733056.64919818286)
('70.70', 733056.64922596281)
('70.92', 733056.64925374126)
('70.70', 733056.64928147267)
('70.70', 733056.64931073308)
('70.70', 733056.64933902002)
('70.70', 733056.64936707611)
('70.70', 733056.64939513372)
('70.70', 733056.64942379075)
('70.70', 733056.64945166197)
('70.70', 733056.64948022738)
('70.70', 733056.64950819116)
('70.92', 733056.64953629358)
('70.92', 733056.64956451848)
('70.70', 733056.64959296153)
('70.70', 733056.64962069388)
('70.92', 733056.6496484332)
('70.70', 733056.64967625064)
('70.70', 733056.64970453852)
('70.70', 733056.64973319788)
('70.70', 733056.6497607904)
('70.70', 733056.64978889248)
('70.70', 733056.64981917117)
('70.70', 733056.64984732028)
('70.70', 733056.64987509907)
('70.70', 733056.64990306238)
('70.70', 733056.64993093302)
('70.70', 733056.64995894302)
('70.70', 733056.64998663031)
('70.70', 733056.65001533413)
('70.70', 733056.65004334331)
('70.92', 733056.65007130813)
('70.92', 733056.65009940939)
('70.92', 733056.65012732777)
('70.70', 733056.65015559667)
('70.70', 733056.6501843658)
('70.92', 733056.6502120978)
('70.70', 733056.65023987682)
('70.70', 733056.65026784118)
('70.70', 733056.65029538656)
('70.70', 733056.65032298095)
('70.70', 733056.6503509446)
('70.70', 733056.65037853818)
('70.70', 733056.65040613094)
('70.70', 733056.65043367725)
('70.70', 733056.65046127094)
('70.70', 733056.65048886463)
('70.92', 733056.65051650337)
('70.92', 733056.65054497647)
('70.70', 733056.65057303384)
('70.92', 733056.65060095047)
('70.92', 733056.65062886802)
('70.70', 733056.650656646)
('70.70', 733056.65068437823)
('70.92', 733056.65071220312)
('70.70', 733056.65074012091)
('70.70', 733056.65076822496)
('70.92', 733056.65079581703)
('70.92', 733056.65082341002)
('70.92', 733056.65085137391)
('70.70', 733056.65087929124)
('70.70', 733056.65090688504)
('70.70', 733056.65093447699)
('70.70', 733056.65096225624)
('70.70', 733056.6509902192)
('70.92', 733056.65101799823)
('70.70', 733056.6510457308)
('70.70', 733056.6510733231)
('70.70', 733056.65110128676)
('70.70', 733056.65112901956)
('70.70', 733056.65115661244)
('70.70', 733056.65118443768)
('70.70', 733056.65121235466)
('70.92', 733056.65123990225)
('70.70', 733056.65126768092)
('70.70', 733056.65129545867)
('70.70', 733056.65132328379)
('70.92', 733056.65135101532)
('70.70', 733056.65137860866)
('70.70', 733056.65140652645)
('70.70', 733056.65143412002)
('70.70', 733056.65146203712)
('70.70', 733056.65148981556)
('70.92', 733056.65151740937)
('70.70', 733056.65154518839)
('70.70', 733056.65157318453)
('70.70', 733056.65160088392)
('70.70', 733056.65162866295)
('70.70', 733056.65165625641)
('70.70', 733056.651683848)
('70.70', 733056.65171158023)
('70.70', 733056.65173917345)
('70.70', 733056.65176676749)
('70.92', 733056.65179519355)
('70.70', 733056.65182380553)
('70.70', 733056.65185176884)
('70.70', 733056.6518799183)
('70.92', 733056.6519078362)
('70.70', 733056.65193570708)
('70.70', 733056.65196357737)
('70.70', 733056.65199177235)
('70.70', 733056.65201968991)
('70.70', 733056.65204770013)
('70.70', 733056.65207538591)
('70.70', 733056.65210334957)
('70.70', 733056.65213131346)
('70.70', 733056.6521592316)
('70.70', 733056.65218705544)
('70.70', 733056.65221478743)
('70.70', 733056.65224275098)
('70.70', 733056.6522705293)
('70.70', 733056.65229826432)
('70.70', 733056.65232604078)
('70.70', 733056.65235400375)
('70.70', 733056.65238173702)
('70.70', 733056.65240951523)
('70.70', 733056.65243734024)
('70.70', 733056.65246507165)
('70.70', 733056.65249298967)
('70.70', 733056.65252076846)
('70.70', 733056.65254854679)
('70.70', 733056.6525765094)
('70.70', 733056.65260447329)
('70.70', 733056.65263225161)
('70.70', 733056.65265998465)
('70.70', 733056.65268794855)
('70.70', 733056.65271572617)
('70.70', 733056.65274345886)
('70.70', 733056.65277123754)
('70.92', 733056.65279901552)
('70.70', 733056.65282674739)
('70.70', 733056.6528545263)
('70.70', 733056.65288230567)
('70.70', 733056.6529100847)
('70.92', 733056.65293781552)
('70.70', 733056.65296559478)
('70.70', 733056.65299337264)
('70.70', 733056.65302115155)
('70.70', 733056.65305031801)
('70.92', 733056.65307818959)
('70.70', 733056.65310615278)
('70.70', 733056.65313416347)
('70.70', 733056.65316207998)
('70.70', 733056.65318999765)
('70.70', 733056.6532178222)
('70.70', 733056.65324573964)
('70.70', 733056.65327370423)
('70.70', 733056.6533016226)
('70.70', 733056.65332958498)
('70.70', 733056.65335754806)
('70.70', 733056.6533855116)
('70.70', 733056.65341324441)
('70.70', 733056.65344106965)
('70.70', 733056.65346880059)
('70.70', 733056.65349676437)
('70.70', 733056.65352468344)
('70.70', 733056.65355246095)
('70.70', 733056.65358047083)
('70.70', 733056.65360857267)
('70.70', 733056.65363635262)
('70.70', 733056.65366408392)
('70.70', 733056.65369172301)
('70.70', 733056.65371968655)
('70.70', 733056.65374760493)
('70.70', 733056.65377538244)
('70.70', 733056.65380390245)
('70.92', 733056.65383172664)
('70.70', 733056.65386029275)
('70.70', 733056.65388830204)
('70.70', 733056.65391622041)
('70.70', 733056.65394422936)
('70.70', 733056.65397210047)
('70.70', 733056.65399969509)
('70.70', 733056.65402747411)
('70.70', 733056.65405525151)
('70.70', 733056.6540828452)
('70.70', 733056.65411187324)
('70.92', 733056.65414002212)
('70.70', 733056.65416798776)
('70.70', 733056.65419576538)
('70.70', 733056.65422349668)
('70.70', 733056.65425127442)
('70.70', 733056.65427909978)
('70.70', 733056.65430831327)
('70.70', 733056.65433618415)
('70.70', 733056.65436687961)
('70.70', 733056.65439688019)
('70.92', 733056.65442530741)
('70.70', 733056.65445308632)
('70.70', 733056.65448105021)
('70.70', 733056.65450919757)
('70.70', 733056.65453730163)
('70.70', 733056.65456535819)
('70.70', 733056.6545932279)
('70.70', 733056.65462128422)
('70.70', 733056.65464938711)
('70.70', 733056.65467813739)
('70.70', 733056.65470577683)
('70.70', 733056.65473342675)
('70.92', 733056.65476133442)
('70.70', 733056.65478929726)
('70.70', 733056.6548172154)
('70.92', 733056.65484499384)
('70.70', 733056.65487295762)
('70.70', 733056.65490105946)
('70.70', 733056.65492883848)
('70.70', 733056.65495661797)
('70.70', 733056.65498457977)
('70.70', 733056.65501231281)
('70.70', 733056.65504009172)
('70.70', 733056.65506768553)
('70.70', 733056.6550954628)
('70.70', 733056.65512342681)
('70.70', 733056.6551511602)
('70.70', 733056.65517893783)
('70.70', 733056.65520690125)
('70.70', 733056.65523467946)
('70.92', 733056.65526241134)
('70.70', 733056.65529019048)
('70.70', 733056.65531796881)
('70.70', 733056.65534574667)
('70.70', 733056.65537366411)
('70.70', 733056.65540144511)
('70.92', 733056.65542922297)
('70.92', 733056.6554569531)
('70.70', 733056.65548473177)
('70.92', 733056.65551251057)
('70.70', 733056.65554130764)
('70.70', 733056.65556950378)
('70.70', 733056.65559751249)
('70.70', 733056.65562566265)
('70.92', 733056.65565367113)
('70.70', 733056.65568177402)
('70.70', 733056.65570969286)
('70.70', 733056.65573746955)
('70.70', 733056.65576543333)
('70.70', 733056.65579344437)
('70.70', 733056.65582150046)
('70.70', 733056.65584932419)
('70.70', 733056.65587705735)
('70.70', 733056.65590502112)
('70.70', 733056.65593275405)
('70.70', 733056.65596053074)
('70.70', 733056.6559884944)
('70.70', 733056.65601645841)
('70.70', 733056.65604442963)
('70.70', 733056.65607252484)
('70.70', 733056.65610030305)
('70.70', 733056.65612849791)
('70.70', 733056.65615636995)
('70.92', 733056.65618414851)
('70.92', 733056.65621192649)
('70.70', 733056.65623970528)
('70.92', 733056.65626766894)
('70.92', 733056.65629540104)
('70.70', 733056.65632322594)
('70.70', 733056.65635100473)
('70.70', 733056.65637910657)
('70.70', 733056.65640688455)
('70.70', 733056.65643461782)
('70.92', 733056.65646239603)
('70.70', 733056.65649031277)
('70.70', 733056.65651836898)
('70.92', 733056.65654642694)
('70.70', 733056.65657420503)
('70.70', 733056.65660198207)
('70.92', 733056.656629715)
('70.70', 733056.65665749344)
('70.70', 733056.656685272)
('70.92', 733056.65671305056)
('70.92', 733056.65674078313)
('70.70', 733056.65676856088)
('70.70', 733056.65679782128)
('70.70', 733056.65682583046)
('70.70', 733056.65685379517)
('70.70', 733056.65688171331)
('70.70', 733056.6569096758)
('70.70', 733056.65693768661)
('70.70', 733056.65696537157)
('70.92', 733056.656993196)
('70.70', 733056.65702129854)
('70.70', 733056.65704926231)
('70.70', 733056.65707699617)
('70.92', 733056.65710495855)
('70.92', 733056.65713278286)
('70.70', 733056.65716069995)
('70.70', 733056.65718861821)
('70.70', 733056.6572163963)
('70.70', 733056.65724417462)
('70.70', 733056.65727199917)
('70.92', 733056.65729991707)
('70.70', 733056.65732765058)
('70.92', 733056.65735542844)
('70.70', 733056.6573833914)
('70.70', 733056.65741135541)
('70.70', 733056.65743927332)
('70.92', 733056.65746709704)
('70.70', 733056.65749482939)
('70.70', 733056.65752256208)
('70.70', 733056.65755034017)
('70.70', 733056.65757793409)
('70.70', 733056.65760552685)
('70.70', 733056.6576333046)
('70.70', 733056.65766122355)
