Log Date and Time Thu, 20 Mar 2008 16:41:50
Ambient Kiln Date Date2Num

(70, '71.37', '71.37', 'Thu, 20 Mar 2008 15:52:26', '733121.66315344663')
(71, '71.37', '71.37', 'Thu, 20 Mar 2008 15:52:29', '733121.66318824433')
(72, '71.37', '71.37', 'Thu, 20 Mar 2008 15:52:32', '733121.66322305403')
(73, '71.37', '71.37', 'Thu, 20 Mar 2008 15:52:35', '733121.66325785045')
(74, '71.37', '71.37', 'Thu, 20 Mar 2008 15:52:38', '733121.66329266073')
(75, '71.37', '71.37', 'Thu, 20 Mar 2008 15:52:41', '733121.66332730011')
(76, '71.37', '71.37', 'Thu, 20 Mar 2008 15:52:44', '733121.66336208186')
(77, '71.37', '71.37', 'Thu, 20 Mar 2008 15:52:47', '733121.66339687887')
(78, '71.37', '71.37', 'Thu, 20 Mar 2008 15:52:50', '733121.66343168891')
(79, '71.37', '71.37', 'Thu, 20 Mar 2008 15:52:53', '733121.66346648615')
(80, '71.37', '71.37', 'Thu, 20 Mar 2008 15:52:56', '733121.66350129608')
(81, '71.37', '71.37', 'Thu, 20 Mar 2008 15:52:59', '733121.66353609331')
(82, '71.37', '71.37', 'Thu, 20 Mar 2008 15:53:02', '733121.66357090441')
(83, '71.37', '71.37', 'Thu, 20 Mar 2008 15:53:05', '733121.66360569978')
(84, '71.37', '71.37', 'Thu, 20 Mar 2008 15:53:08', '733121.66364031285')
(85, '71.37', '71.37', 'Thu, 20 Mar 2008 15:53:11', '733121.66367512383')
(86, '71.37', '71.37', 'Thu, 20 Mar 2008 15:53:14', '733121.66370991920')
(87, '71.37', '71.37', 'Thu, 20 Mar 2008 15:53:17', '733121.66374472808')
(88, '71.37', '88.25', 'Thu, 20 Mar 2008 15:53:20', '733121.66377952707')
(89, '71.37', '107.44', 'Thu, 20 Mar 2008 15:53:23', '733121.66381439182')
(90, '71.37', '71.37', 'Thu, 20 Mar 2008 15:53:26', '733121.66384894797')
(91, '71.37', '101.26', 'Thu, 20 Mar 2008 15:53:29', '733121.66388375650')
(92, '71.37', '109.49', 'Thu, 20 Mar 2008 15:53:32', '733121.66391855432')
(93, '71.37', '105.37', 'Thu, 20 Mar 2008 15:53:35', '733121.66395336413')
(94, '71.37', '104.68', 'Thu, 20 Mar 2008 15:53:38', '733121.66398816206')
(95, '71.37', '106.05', 'Thu, 20 Mar 2008 15:53:41', '733121.66402295872')
(96, '71.37', '110.86', 'Thu, 20 Mar 2008 15:53:44', '733121.66405776876')
(97, '71.37', '110.17', 'Thu, 20 Mar 2008 15:53:47', '733121.66409237985')
(98, '71.37', '110.17', 'Thu, 20 Mar 2008 15:53:50', '733121.66412719025')
(99, '71.37', '112.23', 'Thu, 20 Mar 2008 15:53:53', '733121.66416198749')
(100, '71.37', '112.93', 'Thu, 20 Mar 2008 15:53:56', '733121.66419679765')
(101, '71.37', '112.93', 'Thu, 20 Mar 2008 15:53:59', '733121.66423164459')
(102, '71.37', '112.93', 'Thu, 20 Mar 2008 15:54:02', '733121.66426640877')
(103, '71.37', '112.93', 'Thu, 20 Mar 2008 15:54:05', '733121.66430120135')
(104, '71.37', '113.61', 'Thu, 20 Mar 2008 15:54:08', '733121.66433582653')
(105, '71.37', '109.49', 'Thu, 20 Mar 2008 15:54:11', '733121.66437062423')
(106, '71.37', '108.81', 'Thu, 20 Mar 2008 15:54:14', '733121.66440543311')
(107, '71.37', '108.81', 'Thu, 20 Mar 2008 15:54:17', '733121.66444022977')
(108, '71.37', '108.81', 'Thu, 20 Mar 2008 15:54:20', '733121.66447503061')
(109, '71.37', '108.12', 'Thu, 20 Mar 2008 15:54:23', '733121.66450983612')
(110, '71.37', '108.12', 'Thu, 20 Mar 2008 15:54:26', '733121.66454445047')
(111, '71.37', '108.12', 'Thu, 20 Mar 2008 15:54:29', '733121.66457925772')
(112, '71.37', '108.12', 'Thu, 20 Mar 2008 15:54:32', '733121.66461405647')
(113, '71.37', '108.12', 'Thu, 20 Mar 2008 15:54:35', '733121.66464886419')
(114, '71.37', '111.54', 'Thu, 20 Mar 2008 15:54:38', '733121.66468366294')
(115, '71.37', '113.61', 'Thu, 20 Mar 2008 15:54:41', '733121.66471847508')
(116, '71.37', '113.61', 'Thu, 20 Mar 2008 15:54:44', '733121.66475331399')
(117, '71.37', '114.98', 'Thu, 20 Mar 2008 15:54:47', '733121.66478789342')
(118, '71.37', '114.98', 'Thu, 20 Mar 2008 15:54:50', '733121.66482269857')
(119, '71.37', '114.30', 'Thu, 20 Mar 2008 15:54:53', '733121.66485749977')
(120, '71.37', '114.30', 'Thu, 20 Mar 2008 15:54:56', '733121.66489229770')
(121, '71.37', '114.98', 'Thu, 20 Mar 2008 15:54:59', '733121.66492712253')
(122, '71.37', '114.30', 'Thu, 20 Mar 2008 15:55:02', '733121.66496190452')
(123, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:05', '733121.66499651643')
(124, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:08', '733121.66503132763')
(125, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:11', '733121.66506612301')
(126, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:14', '733121.66510093352')
(127, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:17', '733121.66513573017')
(128, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:20', '733121.66517058434')
(129, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:23', '733121.66520515119')
(130, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:26', '733121.66523996252')
(131, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:29', '733121.66527475999')
(132, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:32', '733121.66530959320')
(133, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:35', '733121.66534436541')
(134, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:38', '733121.66537898278')
(135, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:41', '733121.66541378654')
(136, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:44', '733121.66544858529')
(137, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:47', '733121.66548347450')
(138, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:50', '733121.66551819281')
(139, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:53', '733121.66555300250')
(140, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:56', '733121.66558764910')
(141, '71.37', '114.98', 'Thu, 20 Mar 2008 15:55:59', '733121.66562242224')
(142, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:02', '733121.66565722087')
(143, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:05', '733121.66569202906')
(144, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:08', '733121.66572682979')
(145, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:11', '733121.66576164111')
(146, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:14', '733121.66579624778')
(147, '71.37', '115.66', 'Thu, 20 Mar 2008 15:56:17', '733121.66583104595')
(148, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:20', '733121.66586585541')
(149, '71.37', '115.66', 'Thu, 20 Mar 2008 15:56:23', '733121.66590065451')
(150, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:26', '733121.66593546700')
(151, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:29', '733121.66597007541')
(152, '71.37', '115.66', 'Thu, 20 Mar 2008 15:56:32', '733121.66600488406')
(153, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:35', '733121.66603971890')
(154, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:38', '733121.66607449111')
(155, '71.37', '115.66', 'Thu, 20 Mar 2008 15:56:41', '733121.66610928858')
(156, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:44', '733121.66614409722')
(157, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:47', '733121.66617870971')
(158, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:50', '733121.66621352208')
(159, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:53', '733121.66624831583')
(160, '71.37', '114.98', 'Thu, 20 Mar 2008 15:56:56', '733121.66628311377')
(161, '71.37', '115.66', 'Thu, 20 Mar 2008 15:56:59', '733121.66631792637')
(162, '71.37', '115.66', 'Thu, 20 Mar 2008 15:57:02', '733121.66635253537')
(163, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:05', '733121.66638735414')
(164, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:08', '733121.66642234335')
(165, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:11', '733121.66645695188')
(166, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:14', '733121.66649174970')
(167, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:17', '733121.66652641026')
(168, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:20', '733121.66656117118')
(169, '71.37', '115.66', 'Thu, 20 Mar 2008 15:57:23', '733121.66659597971')
(170, '71.37', '115.66', 'Thu, 20 Mar 2008 15:57:26', '733121.66663078382')
(171, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:29', '733121.66666558653')
(172, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:32', '733121.66670038435')
(173, '71.37', '115.66', 'Thu, 20 Mar 2008 15:57:35', '733121.66673499637')
(174, '71.37', '115.66', 'Thu, 20 Mar 2008 15:57:38', '733121.66676980699')
(175, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:41', '733121.66680460342')
(176, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:44', '733121.66683922790')
(177, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:47', '733121.66687402548')
(178, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:50', '733121.66690883995')
(179, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:53', '733121.66694364452')
(180, '71.37', '115.66', 'Thu, 20 Mar 2008 15:57:56', '733121.66697845969')
(181, '71.37', '114.98', 'Thu, 20 Mar 2008 15:57:59', '733121.66701323807')
(182, '71.37', '114.98', 'Thu, 20 Mar 2008 15:58:02', '733121.66704804788')
(183, '71.37', '114.98', 'Thu, 20 Mar 2008 15:58:05', '733121.66708266118')
(184, '71.37', '114.98', 'Thu, 20 Mar 2008 15:58:08', '733121.66711747006')
(185, '71.37', '115.66', 'Thu, 20 Mar 2008 15:58:11', '733121.66715229582')
(186, '71.37', '114.98', 'Thu, 20 Mar 2008 15:58:14', '733121.66718706430')
(187, '71.37', '114.98', 'Thu, 20 Mar 2008 15:58:17', '733121.66722187493')
(188, '71.37', '115.66', 'Thu, 20 Mar 2008 15:58:20', '733121.66725667263')
(189, '71.37', '114.98', 'Thu, 20 Mar 2008 15:58:23', '733121.66729148745')
