Log Date and Time Fri, 07 Nov 2008 08:26:51
Ambient Kiln Date Date2Num

(70, '64.40', '68.43', 'Thu, 06 Nov 2008 08:24:55', '733352.35064204037')
(71, '64.40', '68.43', 'Thu, 06 Nov 2008 08:24:58', '733352.35067663691')
(72, '64.40', '67.75', 'Thu, 06 Nov 2008 08:25:01', '733352.35071143671')
(73, '64.40', '67.75', 'Thu, 06 Nov 2008 08:25:04', '733352.35074622615')
(74, '64.40', '67.75', 'Thu, 06 Nov 2008 08:25:07', '733352.35078084120')
(75, '64.40', '67.75', 'Thu, 06 Nov 2008 08:25:10', '733352.35081563052')
(76, '64.40', '67.75', 'Thu, 06 Nov 2008 08:25:13', '733352.35085043055')
(77, '64.40', '67.75', 'Thu, 06 Nov 2008 08:25:16', '733352.35088503466')
(78, '64.40', '67.75', 'Thu, 06 Nov 2008 08:25:19', '733352.35091983515')
(79, '64.40', '67.75', 'Thu, 06 Nov 2008 08:25:22', '733352.35095443937')
(80, '64.40', '67.75', 'Thu, 06 Nov 2008 08:25:25', '733352.35098923976')
(81, '64.62', '67.96', 'Thu, 06 Nov 2008 08:25:28', '733352.35102402850')
(82, '64.40', '67.75', 'Thu, 06 Nov 2008 08:25:31', '733352.35105864389')
(83, '64.40', '67.75', 'Thu, 06 Nov 2008 08:25:34', '733352.35109343275')
(84, '64.40', '67.75', 'Thu, 06 Nov 2008 08:25:37', '733352.35112804838')
(85, '64.62', '67.96', 'Thu, 06 Nov 2008 08:25:40', '733352.35116283712')
(86, '64.40', '68.43', 'Thu, 06 Nov 2008 08:25:43', '733352.35119763762')
(87, '64.40', '67.08', 'Thu, 06 Nov 2008 08:25:46', '733352.35123224207')
(88, '64.62', '67.96', 'Thu, 06 Nov 2008 08:25:49', '733352.35126704199')
(89, '64.40', '67.75', 'Thu, 06 Nov 2008 08:25:52', '733352.35130164644')
(90, '64.40', '68.43', 'Thu, 06 Nov 2008 08:25:55', '733352.35133643460')
(91, '64.40', '67.08', 'Thu, 06 Nov 2008 08:25:58', '733352.35137123568')
(92, '64.40', '68.43', 'Thu, 06 Nov 2008 08:26:01', '733352.35140583944')
(93, '64.40', '67.75', 'Thu, 06 Nov 2008 08:26:04', '733352.35144064005')
(94, '64.40', '67.08', 'Thu, 06 Nov 2008 08:26:07', '733352.35147524381')
