Log Date and Time Fri, 27 Mar 2009 17:36:10
Fields:Ambient KilnFront KilnBack Date Date2Num

(62, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:50:06', '733493.53479281778')
(63, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:50:16', '733493.53490856162')
(64, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:50:26', '733493.53502425307')
(65, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:50:36', '733493.53513994731')
(66, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:50:46', '733493.53525582748')
(67, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:50:56', '733493.53537152137')
(68, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:51:06', '733493.53548721573')
(69, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:51:16', '733493.53560295654')
(70, '73.8', '72.3', '73.8', 'Fri, 27 Mar 2009 12:51:26', '733493.53571865114')
(71, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:51:36', '733493.53583453060')
(72, '73.8', '72.3', '73.8', 'Fri, 27 Mar 2009 12:51:46', '733493.53595022520')
(73, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:51:56', '733493.53606591967')
(74, '73.8', '72.3', '73.8', 'Fri, 27 Mar 2009 12:52:06', '733493.53618184559')
(75, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:52:16', '733493.53629756428')
(76, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:52:26', '733493.53641323443')
(77, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:52:36', '733493.53652892879')
(78, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:52:46', '733493.53664462338')
(79, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:52:56', '733493.53676050273')
(80, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:53:06', '733493.53687661351')
(81, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:53:16', '733493.53699230857')
(82, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:53:26', '733493.53710800351')
(83, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:53:36', '733493.53722369741')
(84, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:53:46', '733493.53733957699')
