Log Date and Time Mon, 19 May 2008 23:23:20
Ambient Kiln Date Date2Num

(73, '78.12', '213.46', 'Mon, 19 May 2008 08:25:48', '733181.35125182720')
(74, '78.35', '213.69', 'Mon, 19 May 2008 08:25:51', '733181.35128661571')
(75, '78.35', '214.38', 'Mon, 19 May 2008 08:25:54', '733181.35132123169')
(76, '78.35', '213.69', 'Mon, 19 May 2008 08:25:57', '733181.35135601962')
(77, '78.35', '213.69', 'Mon, 19 May 2008 08:26:00', '733181.35139062454')
(78, '78.35', '214.38', 'Mon, 19 May 2008 08:26:03', '733181.35142542387')
(79, '78.35', '213.69', 'Mon, 19 May 2008 08:26:06', '733181.35146021401')
(80, '78.35', '214.38', 'Mon, 19 May 2008 08:26:09', '733181.35149482847')
(81, '78.35', '214.38', 'Mon, 19 May 2008 08:26:12', '733181.35152961803')
(82, '78.35', '214.38', 'Mon, 19 May 2008 08:26:15', '733181.35156441829')
(83, '78.35', '215.08', 'Mon, 19 May 2008 08:26:18', '733181.35159902216')
(84, '78.35', '214.38', 'Mon, 19 May 2008 08:26:21', '733181.35163382289')
(85, '78.35', '214.38', 'Mon, 19 May 2008 08:26:24', '733181.35166842665')
(86, '78.35', '215.08', 'Mon, 19 May 2008 08:26:27', '733181.35170322668')
(87, '78.35', '215.08', 'Mon, 19 May 2008 08:26:30', '733181.35173801589')
(88, '78.35', '215.08', 'Mon, 19 May 2008 08:26:33', '733181.35177263094')
(89, '78.35', '215.08', 'Mon, 19 May 2008 08:26:36', '733181.35180742049')
(90, '78.35', '215.08', 'Mon, 19 May 2008 08:26:39', '733181.35184222064')
(91, '78.57', '216.00', 'Mon, 19 May 2008 08:26:42', '733181.35187682509')
(92, '78.57', '216.00', 'Mon, 19 May 2008 08:26:45', '733181.35191162478')
(93, '78.35', '215.78', 'Mon, 19 May 2008 08:26:48', '733181.35194622935')
(94, '78.57', '216.00', 'Mon, 19 May 2008 08:26:51', '733181.35198102938')
(95, '78.35', '215.78', 'Mon, 19 May 2008 08:26:54', '733181.35201581987')
(96, '78.35', '215.78', 'Mon, 19 May 2008 08:26:57', '733181.35205043387')
(97, '78.57', '216.00', 'Mon, 19 May 2008 08:27:00', '733181.35208522331')
(98, '78.57', '216.00', 'Mon, 19 May 2008 08:27:03', '733181.35212002334')
(99, '78.57', '216.00', 'Mon, 19 May 2008 08:27:06', '733181.35215499799')
(100, '78.57', '216.00', 'Mon, 19 May 2008 08:27:09', '733181.35218941630')
(101, '78.57', '216.00', 'Mon, 19 May 2008 08:27:12', '733181.35222403193')
(102, '78.57', '216.00', 'Mon, 19 May 2008 08:27:15', '733181.35225882032')
(103, '78.57', '216.68', 'Mon, 19 May 2008 08:27:18', '733181.35229362117')
(104, '78.57', '216.68', 'Mon, 19 May 2008 08:27:21', '733181.35232822504')
(105, '78.57', '217.36', 'Mon, 19 May 2008 08:27:24', '733181.35236302565')
